Serial,Comph_we,Comph_wk,Comp_we,Comp_wk,Smart_we,Smart_wk,Watch_we,Watch_wk
1000069,4,3,0,0,2,1,4,4
1000070,4,3,0,0,4,3,3,1
1000071,2,4,0,0,5,5,1,3
1000072,4,5,0.5,0.5,7,7,5,5
1000073,7,4,0.5,0,5,4,7,5
1000074,0.5,2,0,0,2,3,3,3
1000075,0,0,0,0,0.5,0.5,2,0
1000076,5,5,1,0,7,6,7,5
1000077,3,2,1,0.5,4,2,3,2
1000078,4,3,0,0,6,4,3,1
1000079,5,3,0,0,4,2,4,2
1000080,5,3,0,0,4,3,6,4
1000081,0,0,0,0,7,4,2,0.5
1000082,2,2,0,0,2,2,4,3
1000083,0.5,0.5,0,0,5,3,3,2
1000084,3,1,0,0,4,2,4,2
1000085,0.5,2,0,0,3,2,3,3
1000086,5,3,0.5,0,1,1,2,0.5
1000087,2,0,0,0,5,4,4,3
1000089,3,2,0,0,7,7,4,3
1000090,0.5,0.5,0.5,0,1,0.5,0,0
1000091,2,2,0.5,0,3,2,4,3
1000092,1,1,0,0,3,2,4,2
1000093,3,3,0,0,3,3,1,1
1000094,0.5,1,0,0,6,6,1,3
1000095,4,2,0.5,0,3,2,4,2
1000096,1,1,1,0,4,3,0.5,0.5
1000098,2,2,0,0,3,3,3,2
1000099,2,2,0,0,2,2,3,2
1000100,0,0,0,0,7,4,2,2
1000101,4,2,0,0.5,2,2,3,1
1000102,0,0,0,0,5,6,0.5,3
1000103,2,4,0,0,3,2,5,4
1000104,2,1,0.5,0,5,2,4,2
1000105,6,3,0,0,1,0.5,1,0.5
1000106,4,4,0,0,7,5,3,1
1000107,2,0.5,0.5,0,2,1,1,0.5
1000108,3,3,0,0,2,1,1,0.5
1000109,3,3,0,0,3,2,2,1
1000110,0.5,0,0,0,0.5,0,6,3
1000111,2,2,0,0,1,0.5,1,1
1000112,6,5,0,0,7,7,5,4
1000113,2,1,1,0,0,0,3,1
1000114,4,2,0,0,4,0,5,4
1000115,5,4,0,0,2,1,5,4
1000116,0,0,0,0,7,6,3,3
1000117,1,2,0.5,0,2,1,2,1
1000118,1,1,0,0,7,7,7,6
1000119,3,3,0.5,0,1,1,3,1
1000121,2,2,0,0,0,0,1,0
1000123,2,1,0,0,6,6,4,3
1000124,6,4,0,0,7,5,4,2
1000125,3,2,0,0,3,2,3,2
1000126,3,2,0,0,5,4,2,2
1000127,0.5,1,0,0,3,1,3,0.5
1000128,3,2,0,0,2,2,3,1
1000129,1,1,0,0.5,1,1,3,1
1000130,1,1,0.5,0,4,3,4,3
1000131,2,1,1,0.5,0,0,4,3
1000132,1,0.5,0,0,2,1,0.5,0
1000133,4,3,0,0,2,0.5,4,1
1000134,5,4,0,0,0,0,2,0
1000135,0.5,0.5,0,0,4,3,1,0
1000136,3,3,3,3,2,2,7,7
1000137,3,2,0,0,5,3,3,2
1000138,4,3,0,0,0.5,0.5,2,0.5
1000139,2,1,0,0,3,1,0,0
1000142,1,0.5,0,0,0.5,0.5,3,1
1000143,2,2,0.5,0.5,2,1,3,2
1000144,3,3,0,0,2,1,0.5,0.5
1000145,4,2,1,0.5,5,4,5,3
1000146,1,0.5,0,0,3,1,3,2
1000147,5,7,0,0,3,2,5,4
1000148,0.5,0,0,0,7,6,3,1
1000149,0.5,0,3,1,3,1,5,3
1000150,0.5,0.5,0.5,0,0.5,0.5,3,1
1000151,4,3,0,0,2,2,3,2
1000152,3,2,2,0,4,3,7,3
1000153,3,2,0,0,4,2,3,2
1000154,4,3,0,0,2,1,2,2
1000155,2,4,0,0,5,5,3,4
1000156,0.5,1,0,0,5,5,1,1
1000157,5,4,0,0,1,1,4,1
1000158,3,1,0,0,0,0,4,2
1000159,5,3,0,0,6,6,5,4
1000160,2,2,0,0,4,3,3,2
1000161,2,1,0,0,7,4,4,0.5
1000162,1,2,0,0,2,2,2,1
1000163,0.5,0.5,0,0,1,1,2,0.5
1000164,3,2,0,0,5,6,4,3
1000165,2,4,0,0,2,1,3,2
1000167,1,1,0,0,5,2,1,1
1000168,3,2,0,0,4,3,3,2
1000169,3,2,0,0,5,6,4,4
1000170,0.5,1,0,0,2,2,2,2
1000171,0.5,0.5,0,0,4,2,1,0.5
1000172,0,0.5,0.5,0.5,2,2,3,3
1000173,2,2,0,0,2,2,2,1
1000174,1,3,0,0,0.5,0.5,0.5,0.5
1000175,0,1,0,0,0.5,3,0.5,3
1000176,2,0.5,0,0,0,0,4,2
1000177,4,2,0,0,3,2,1,0.5
1000178,2,2,0,0,0.5,0.5,1,1
1000179,0,0,0,0,4,3,4,3
1000180,7,6,0,0,1,0.5,4,3
1000181,5,5,0,0,0.5,0.5,3,1
1000182,7,7,0,0,6,6,6,6
1000183,7,2,0,0,0,0,2,1
1000184,1,0.5,0.5,0,3,3,2,3
1000185,0.5,0.5,0,0,7,7,1,1
1000186,1,1,0,0,1,0.5,2,1
1000187,1,2,0,0,3,2,5,4
1000188,5,3,0,0,2,2,2,0
1000189,3,2,0,0,6,4,4,3
1000190,0.5,0,0,0,3,3,4,3
1000191,3,2,1,0,7,5,4,2
1000192,3,2,0.5,0.5,5,5,5,5
1000193,3,3,2,0,2,1,3,3
1000194,2,2,0,0,0.5,0,0.5,0
1000195,2,2,0,0,4,3,7,6
1000196,3,2,0.5,0.5,3,2,2,2
1000197,0.5,0.5,0,0,4,4,4,4
1000198,0,0.5,0,0,4,2,2,1
1000199,2,2,5,3,7,7,5,7
1000200,6,5,0,0,6,4,6,4
1000201,1,3,0,0,2,1,2,1
1000202,2,1,0,0,3,1,3,1
1000203,0,0,0,0,7,7,5,4
1000204,2,1,0,0,3,3,3,4
1000205,3,3,0,0,6,5,4,3
1000206,7,4,2,1,3,2,0.5,0.5
1000207,4,2,0,0,7,7,0,2
1000208,3,2,0,0,2,2,1,1
1000209,2,3,0,0,6,4,4,2
1000210,4,4,0.5,0,3,2,4,3
1000211,0,0,0,0,0,0,6,3
1000212,0,0,0,0,7,7,6,4
1000213,2,0.5,0,0,4,2,3,1
1000214,2,2,0,0,5,4,6,4
1000215,2,1,0,0,1,1,2,1
1000216,1,2,0,0,2,2,2,0.5
1000217,3,2,0.5,0,1,1,2,1
1000218,3,2,0,0,1,0.5,1,2
1000219,3,2,0,0,3,1,5,4
1000220,1,0.5,0,0,6,6,1,0
1000221,0.5,3,0,0,7,7,4,5
1000222,3,1,2,0.5,7,7,2,1
1000223,2,0.5,0,0,4,3,3,2
1000224,1,0.5,0,0,1,1,6,4
1000225,0,0.5,0,0,2,1,2,0.5
1000226,3,2,0,0,0,0,2,0
1000227,0,0.5,0,0,3,1,1,2
1000228,0.5,0,0.5,0,7,7,7,7
1000229,2,1,0,0,2,2,4,2
1000230,5,3,0,0,0,0,2,1
1000231,0.5,0.5,0,0,1,1,1,2
1000232,3,4,0.5,4,3,2,7,4
1000234,0.5,1,0,0,3,2,3,3
1000235,3,1,0,0,4,2,3,0.5
1000236,3,2,0.5,0,4,2,2,0.5
1000237,2,2,0.5,0,3,2,2,0.5
1000238,1,1,0,0,1,1,2,0.5
1000239,0.5,1,0,0,7,7,3,3
1000240,2,2,1,0.5,7,7,4,1
1000241,4,6,0,0,7,7,7,5
1000242,2,2,1,0.5,2,1,2,1
1000243,0,0,0,0,4,3,7,4
1000244,3,3,0,0,3,2,2,1
1000245,3,2,3,3,2,2,3,4
1000246,4,2,0,0,1,0.5,3,1
1000247,1,1,2,1,6,6,6,3
1000248,2,3,0.5,0,5,4,3,3
1000249,2,3,0,0,1,0.5,2,0.5
1000250,0.5,0.5,0,0,4,1,2,1
1000251,2,1,2,0,1,1,5,2
1000252,1,0.5,0,0,4,2,2,2
1000253,1,0.5,0,0,1,0.5,2,1
1000254,2,4,1,0.5,2,3,1,3
1000255,5,4,0,0,7,5,7,5
1000256,4,3,0.5,0,1,0.5,1,0
1000257,3,2,0,0,7,5,1,0.5
1000258,2,1,0,0,1,0.5,2,0.5
1000259,2,1,5,2,6,3,5,2
1000260,0.5,0.5,0,0,7,5,4,5
1000261,5,5,0.5,0,7,7,3,1
1000262,5,3,0,0,6,3,4,2
1000263,4,2,0.5,0,0.5,0.5,2,2
1000264,6,5,2,2,7,6,7,6
1000265,3,2,0.5,0.5,2,1,3,2
1000266,0.5,0.5,0,0,0.5,0.5,3,1
1000267,3,3,0.5,0,5,1,3,1
1000268,2,2,0.5,0,6,6,3,2
1000269,3,1,0,0,2,2,4,3
1000270,4,3,0.5,0.5,4,3,3,0.5
1000271,3,1,0,0,2,2,2,1
1000272,4,1,0,0,2,2,2,1
1000273,0.5,0,0,0,4,2,4,2
1000274,0.5,0.5,3,0,0,0,3,2
1000275,5,4,0,0,6,5,5,3
1000276,3,2,0,0,7,4,7,4
1000277,6,3,0,0.5,0,0,1,0
1000278,2,1,0,0,1,1,2,0.5
1000279,3,2,0,0,3,2,4,3
1000280,1,1,0,0,6,5,3,1
1000281,2,2,0,0,5,5,4,2
1000282,0,2,0,0,6,5,4,3
1000283,3,2,0,0,7,3,3,3
1000284,3,2,0,0,3,2,1,0.5
1000285,0.5,0.5,0,0,5,5,1,1
1000286,3,2,0,0,2,1,3,2
1000287,4,3,0,0,4,4,4,3
1000288,7,7,0,0,7,7,7,5
1000289,0,0,0,0,5,2,2,2
1000290,2,2,0,0,7,7,7,5
1000291,5,3,2,1,6,4,4,2
1000292,0.5,0.5,0,0,2,1,2,1
1000293,4,0.5,0,0,6,4,4,5
1000294,1,1,0,0,1,2,3,4
1000295,2,1,0.5,0,1,0.5,4,2
1000296,0.5,0.5,0,0,2,1,2,1
1000297,3,2,0,0,1,1,0,0.5
1000298,0,0,0,0.5,7,5,2,1
1000299,2,2,0,0,1,1,3,2
1000300,2,1,0.5,0,4,4,3,2
1000301,2,2,0,0,4,4,2,0.5
1000302,0.5,0.5,0,0,4,3,6,5
1000303,0,0,0,0,4,3,3,1
1000304,3,2,0,0,5,3,6,3
1000305,0.5,0.5,0,0,4,3,1,0.5
1000306,6,5,2,0,0,0,6,5
1000307,1,1,0,0,3,2,6,4
1000308,2,0.5,0,0,3,2,3,2
1000309,1,0.5,0,0,4,2,1,0.5
1000310,0,2,1,0,5,5,3,2
1000311,4,2,0,0,1,1,4,2
1000312,1,1,0,0,5,4,3,3
1000313,3,2,0,0,6,4,3,1
1000314,0,0.5,0.5,0,2,1,4,2
1000315,0,0,0,0,7,2,7,3
1000316,7,2,0.5,0.5,7,3,2,2
1000317,1,7,0.5,2,7,7,6,7
1000318,3,2,0.5,0,6,4,1,0.5
1000319,1,2,0.5,0,7,4,7,3
1000320,3,3,0,0,2,2,1,2
1000322,2,3,0.5,0,2,0.5,4,3
1000323,1,0.5,0.5,1,3,1,3,2
1000324,1,0.5,2,1,1,0.5,6,5
1000325,3,4,0,0,3,4,3,3
1000326,3,1,0,0,6,5,1,3
1000327,7,7,0,0,4,3,7,7
1000328,0,0.5,0.5,0,3,2,1,0.5
1000329,0,0,0,0,7,6,5,2
1000330,0,3,0,0,4,3,0.5,0.5
1000331,1,1,0,0,5,3,4,3
1000332,2,2,0,0,2,2,4,1
1000333,0,0,0,0,4,4,1,2
1000334,1,1,0.5,0.5,3,1,2,2
1000335,3,2,0,0,4,3,3,3
1000336,6,3,0,0.5,3,4,5,3
1000337,3,3,0,0,5,2,2,0.5
1000338,3,3,0,0,2,2,5,3
1000339,0,0,0,0,0,0.5,1,1
1000340,0,0,2,2,2,2,6,5
1000341,3,3,0.5,0.5,7,7,7,6
1000342,0,0,0,0,7,6,0.5,0.5
1000343,7,7,7,3,7,7,3,3
1000344,1,1,0,0,4,2,1,3
1000345,2,2,0.5,0,2,2,3,1
1000346,0.5,0.5,0,0,4,1,1,0.5
1000347,3,3,0,0,7,7,6,5
1000348,0,0.5,0,0,3,3,3,3
1000349,0.5,0.5,0.5,0,2,1,4,3
1000350,3,2,2,1,7,7,3,3
1000351,0,0,0.5,0,7,7,5,3
1000352,3,2,1,0,7,6,1,0.5
1000353,0,0,0,0,7,5,7,5
1000354,6,5,4,3,7,7,3,1
1000355,7,7,4,4,7,7,5,4
1000356,0.5,1,0,0,6,5,4,6
1000357,7,5,7,5,0,0,6,3
1000358,0.5,1,0,0,2,2,3,4
1000359,0.5,1,0,0,1,1,4,3
1000360,0.5,0.5,0,0,3,2,1,2
1000361,0.5,0,0,0,0.5,0.5,2,0.5
1000362,2,2,3,0,1,1,0.5,0
1000363,1,1,0,0,1,0.5,5,2
1000364,0.5,0,3,0.5,7,7,7,7
1000365,0,0,0.5,0,3,2,3,2
1000366,3,2,0,0,4,3,2,0.5
1000367,0,0,0,0,7,6,3,1
1000369,5,5,5,3,5,3,5,3
1000370,6,5,0,0,5,3,6,5
1000371,0,0.5,0,0,5,3,4,2
1000372,4,3,0,0,7,5,2,1
1000373,4,2,0,0,2,0.5,5,3
1000374,3,1,0,0,6,3,7,4
1000375,6,5,0,0,7,7,7,7
1000376,0.5,0.5,1,0.5,5,4,2,1
1000377,0.5,0.5,0,0,7,2,2,2
1000378,4,2,0,0,7,7,5,4
1000379,4,3,2,2,2,1,3,3
1000380,0.5,0.5,0,0,5,4,2,1
1000381,5,4,0,0,0,0,2,3
1000382,1,0,0,0,7,4,2,0
1000383,7,5,0,0.5,7,7,0.5,4
1000384,0,0.5,0,0.5,7,5,7,5
1000385,0,0.5,0,0,7,7,5,4
1000386,0.5,0.5,0.5,0,2,2,3,1
1000387,7,7,0,0,7,7,5,3
1000388,1,1,1,0,0.5,0.5,5,3
1000389,0.5,1,0,0,6,5,3,4
1000390,1,1,0.5,0,6,4,4,2
1000391,1,1,0,0,5,5,2,2
1000392,1,1,0,0,7,7,5,4
1000393,0,0,2,1,0,0,0,0
1000394,3,3,0,0,2,1,4,3
1000395,0,0,0,0,5,3,2,1
1000397,0,0,0,0,5,4,0,0.5
1000398,2,2,0,0,7,7,4,2
1000399,7,6,5,4,1,4,7,6
1000400,3,2,0,0,4,3,6,2
1000401,0,0,0,0,3,2,5,5
1000402,3,2,0,0,5,3,6,4
1000403,5,3,0,0,2,1,3,1
1000404,0,0.5,0,0,2,2,3,3
1000405,0,0.5,0,0,5,3,1,0.5
1000406,0,0,0,0,5,5,5,3
1000407,1,0.5,0,0,3,2,4,3
1000408,3,2,0,0,5,3,5,2
1000409,5,5,0,0,3,2,2,0
1000411,5,2,0,0,7,7,7,3
1000412,0,0,0,0,3,2,4,1
1000413,4,3,4,4,5,5,4,0.5
1000414,0,0,0,0,6,4,2,0.5
1000416,3,1,0,0,4,3,2,0
1000417,0,0.5,0,0.5,7,7,2,4
1000418,4,2,1,0,6,4,7,5
1000419,0,0,0,0,5,5,4,4
1000420,1,0.5,0,0,1,1,4,2
1000421,3,1,0,0,2,1,2,0.5
1000422,0.5,0.5,0,0,7,7,0.5,0.5
1000424,7,4,0,0,5,4,7,4
1000425,3,2,0,0,4,3,7,5
1000426,1,2,0,0,0,0,4,4
1000427,2,1,2,1,6,4,6,4
1000428,0,0,0,0,6,7,3,5
1000429,4,3,1,0,7,6,6,5
1000430,1,1,0,0,2,2,2,2
1000431,5,5,0,0,7,7,2,0.5
1000432,5,5,0,0,5,5,3,2
1000433,0,0.5,0,0,7,6,7,6
1000434,1,1,1,1,6,4,7,5
1000435,0.5,1,1,0.5,0.5,0.5,2,2
1000436,2,3,0,0,7,7,5,4
1000437,2,1,0,0,7,7,2,2
1000438,0.5,0.5,0,0,5,3,6,4
1000439,3,2,0,0,0,0,1,0
1000440,0.5,0,0,0,3,0.5,3,1
1000441,3,1,0,0,3,2,4,3
1000442,0.5,0.5,0,0,3,2,3,1
1000445,2,2,0,0,5,4,4,3
1000446,0.5,0.5,0,0,0,0,1,2
1000447,2,0.5,0,0,0,0,4,2
1000448,1,1,0.5,0,7,4,1,1
1000449,0,0,0,0,7,7,3,2
1000450,2,0,0,0,0.5,0,2,1
1000451,0,0,0.5,0.5,7,6,5,2
1000452,1,1,0.5,0,3,4,2,3
1000453,0,0,0,0,5,3,3,2
1000454,6,5,0.5,0.5,6,4,4,2
1000455,4,2,0,0,7,5,4,2
1000456,2,1,0,0,4,3,2,0.5
1000457,0,0,0.5,0,0,0,3,3
1000458,5,3,0,0,7,7,3,2
1000459,7,4,0.5,0,0,0,3,1
1000460,7,7,0,0.5,7,6,4,3
1000461,5,3,0,0,2,1,3,2
1000462,6,5,0,0,7,5,6,4
1000463,1,1,1,0.5,2,2,2,0.5
1000464,0.5,0.5,0,0,2,0.5,2,0.5
1000465,3,3,0.5,0,1,1,3,2
1000466,2,1,0,0,3,3,4,4
1000467,0,0,0.5,0,7,6,4,3
1000468,6,3,0.5,0,6,4,4,1
1000469,0.5,2,4,3,7,6,5,6
1000470,5,3,0,0,1,0.5,5,2
1000471,3,0.5,1,0,3,1,3,0
1000472,2,2,0,0,7,4,5,3
1000473,3,4,0,0,3,2,2,2
1000474,0.5,0.5,4,2,7,7,5,3
1000475,2,1,0.5,0,3,1,4,2
1000476,1,0,7,2,7,7,1,0
1000477,7,6,7,6,7,7,2,2
1000478,6,5,3,2,5,2,3,3
1000479,0,0.5,0,0,7,6,7,6
1000480,2,1,0,0,7,7,4,2
1000482,6,4,0,0,7,6,7,5
1000483,0.5,0.5,0,0,0.5,0,0,0.5
1000484,0.5,0.5,1,0.5,3,3,6,3
1000485,0,0,0,0,6,4,6,3
1000486,2,2,0.5,0.5,3,2,0.5,1
1000487,2,2,4,3,6,6,3,1
1000488,7,6,1,0.5,7,7,7,3
1000489,1,1,1,1,6,4,4,4
1000490,0.5,0.5,0,0,0.5,0,2,0.5
1000491,0,0,0,0,5,5,2,3
1000492,0,0,0,0,1,2,0.5,1
1000493,0,1,0,0,7,7,7,7
1000494,2,2,7,4,0.5,0.5,3,2
1000495,7,6,0,0,0,0,6,2
1000496,0.5,0.5,0,0,6,4,2,1
1000497,0,0,0,0,7,7,6,4
1000498,7,7,0,0,7,7,7,7
1000500,0,0,0,0,7,7,7,7
1000501,7,7,0,0,7,7,3,1
1000502,2,4,0,0,3,5,5,3
1000503,7,5,0,0,7,7,3,3
1000504,4,2,1,2,7,6,7,5
1000505,2,1,0,0,0,0,4,3
1000506,2,1,0,0,7,7,6,4
1000507,1,0.5,0,0,7,7,1,0.5
1000508,3,4,0,0,7,7,3,2
1000509,0,0,0.5,0.5,7,5,3,2
1000510,0,0,0,0,4,2,6,3
1000511,0.5,3,0,0,7,6,1,3
1000512,7,7,6,6,7,7,5,3
1000513,0,0,0,0,4,3,2,3
1000514,0,0,0,1,7,6,5,4
1000515,7,7,0.5,0.5,7,7,4,2
1000516,1,1,5,3,0,0,3,2
1000517,7,7,0,0,7,7,0,5
1000518,0,0,1,1,2,2,5,3
1000519,6,5,0,0,7,7,0.5,0
1000520,3,2,1,0,2,1,4,2
1000521,7,7,7,7,0,0,7,7
1000522,3,6,0,0,7,7,5,2
1000523,0,0.5,0,0,4,3,0.5,0
1000524,0.5,0,0,0,6,5,3,3
1000525,3,1,3,1,7,3,5,3
1000526,0,0.5,0,0,7,6,4,3
1000527,0,0,2,0,7,5,0,0
1000528,0,0,0,0,3,2,3,2
1000529,0,0.5,0,0,7,3,6,4
1000530,6,5,0,0,7,7,3,1
1000531,2,3,0,0,5,3,6,2
1000532,0.5,0,0,0,5,3,4,2
1000533,0,0,0,0,5,2,2,1
1000534,7,7,0,0,7,7,6,5
1000535,1,0,2,1,5,5,7,5
1000536,1,1,1,0,7,7,0.5,1
1000538,5,5,0,0,5,3,4,2
1000539,1,0.5,0,0,4,2,4,3
1000540,1,1,2,0,7,5,4,3
1000541,0.5,0.5,0,0,4,3,2,1
1000542,7,7,0.5,0.5,7,7,7,7
1000543,0,0,4,2,2,1,5,3
1000544,0.5,0.5,0,0,7,7,6,5
1000545,0,1,0,0,5,5,3,6
1000546,0,0,0,0,7,7,6,0.5
1000547,0.5,0,0,0,7,7,7,5
1000548,0,0,0,0,7,7,0.5,1
1000549,0.5,2,0.5,2,7,5,5,4
1000550,6,5,0,0,7,7,6,5
1000551,5,3,0.5,0.5,2,2,4,3
1000552,3,2,0,0,4,3,3,1
1000553,4,1,0,0,1,2,2,1
1000555,2,1,2,1,0.5,0.5,1,0.5
1000556,5,2,0,0,7,7,7,4
1000557,2,2,0,0,6,4,4,3
1000558,0,1,0,0,7,7,5,3
1000559,5,4,7,5,7,7,0,0
1000560,7,5,0,0,7,7,6,4
1000561,7,7,0,0,7,7,7,3
1000562,0,0,0,0,3,2,7,3
1000563,2,2,0,0,5,5,4,3
1000564,0,1,0,0,7,7,3,1
1000565,2,1,0,0,7,5,4,3
1000567,5,7,0,0,7,7,4,3
1000568,0,0,2,0,7,7,6,2
1000569,0,0,0,0,7,7,7,7
1000570,2,0.5,0.5,0,6,5,3,2
1000571,7,5,0,0,6,5,3,1
1000572,2,1,0,0,2,1,4,3
1000573,5,3,0,0,2,1,5,4
1000574,7,5,0,0,7,7,7,4
1000575,6,4,4,2,4,2,0,0
1000576,5,3,0,0,5,5,5,4
1000577,2,4,0.5,0,4,2,1,1
1000578,7,7,0,0,7,7,5,4
1000579,0.5,0.5,1,1,4,3,4,3
1000580,5,4,0,0,5,4,5,4
1000581,0.5,0.5,0.5,0.5,3,3,2,3
1000582,1,1,0,0,3,3,5,4
1000584,7,7,3,0,7,7,6,3
1000585,5,4,0.5,0.5,5,4,2,0.5
1000586,0,0,2,2,4,3,2,2
1000587,0.5,0.5,2,0.5,5,4,7,6
1000588,3,2,0,0,2,4,4,1
1000589,7,7,0.5,1,7,7,7,7
1000590,7,7,0,0,2,2,7,7
1000591,7,7,1,1,7,7,5,4
1000592,5,4,0.5,0.5,7,5,6,1
1000593,4,2,0.5,0,2,1,2,1
1000594,1,2,0,0,1,2,1,2
1000595,1,1,0,0,0.5,0,3,2
1000596,0,0,0,0,5,3,2,0.5
1000597,1,0.5,0,0,5,3,6,4
1000598,0.5,0,0,0,4,2,3,1
1000599,0,0,0,0,2,2,1,1
1000601,0.5,0,0.5,0,3,2,2,1
1000602,0,0.5,0.5,0,7,7,2,3
1000604,4,3,0,0,5,4,5,4
1000605,5,3,1,1,7,5,7,5
1000606,7,0.5,1,1,7,5,7,7
1000607,2,1,2,2,2,1,4,2
1000608,2,1,0.5,0,3,1,6,4
1000609,1,1,0,0,7,7,5,4
1000610,0.5,1,0,0,1,1,3,0.5
1000611,7,5,0,0,5,3,4,3
1000612,7,3,0,0,7,7,5,3
1000613,2,0.5,0,0,7,7,7,7
1000614,1,1,3,1,2,2,5,3
1000615,4,2,2,0,7,6,6,4
1000616,5,3,0,0,5,3,2,2
1000617,3,0.5,0,0,0.5,1,1,0
1000618,7,6,0.5,0,7,7,7,6
1000619,3,5,0,0,5,7,3,4
1000620,3,2,0,0,3,3,3,1
1000621,1,0.5,0.5,0,3,3,1,2
1000622,2,2,6,4,7,7,5,2
1000623,4,2,0,0,6,6,6,1
1000624,1,0.5,0,0,7,3,6,3
1000625,1,2,0.5,0,4,3,2,3
1000626,0,3,0.5,0.5,7,7,6,2
1000627,0,0,0,0,7,7,4,3
1000628,0.5,0.5,0,0,2,1,2,1
1000629,1,2,0.5,0.5,7,7,6,4
1000630,0,0,0,0,7,7,6,4
1000631,2,0.5,0,0,0,0,2,0.5
1000632,5,3,0,0,7,7,7,7
1000633,0,0,0.5,0,7,7,7,5
1000634,0,0,0,0,4,3,6,4
1000635,2,1,0,0,0.5,0.5,2,1
1000636,4,3,3,1,2,1,4,2
1000637,3,3,5,3,7,7,7,7
1000638,0,0,0,0,5,3,4,3
1000639,1,0.5,4,2,5,4,6,3
1000640,4,4,0,0,4,4,3,3
1000641,4,2,0,0,6,4,2,5
1000642,0.5,0.5,0,0,3,3,5,3
1000643,1,0.5,0,0,7,4,6,4
1000644,0.5,0.5,2,1,3,3,5,4
1000645,4,3,1,0,3,2,2,2
1000646,4,3,0,0,3,4,7,6
1000647,3,4,0,0,3,3,3,3
1000648,0.5,0.5,0,0,4,2,3,1
1000649,7,4,2,0.5,7,4,7,4
1000650,0,0.5,0,0,5,3,4,3
1000651,3,1,0,0,1,1,5,3
1000652,3,2,0,0,7,6,3,0.5
1000653,2,2,0,0,7,7,4,2
1000654,0,0.5,0.5,0,4,2,6,3
1000655,0,0,0,0,7,7,7,6
1000656,0.5,0.5,0,0,2,3,3,2
1000657,7,6,0,0,7,7,7,7
1000658,4,2,0.5,0,1,3,7,5
1000659,2,0.5,0,0,6,4,2,2
1000660,7,5,0.5,0,7,6,6,1
1000661,0,0,0,0,7,4,4,2
1000662,7,7,0,0,7,7,2,0.5
1000663,7,5,7,5,1,1,3,1
1000664,1,0.5,0,0,7,5,2,0.5
1000665,0,0,5,1,0,0.5,2,1
1000666,0,0,0,0,7,4,5,4
1000667,0,0,0,0,7,7,1,0.5
1000668,1,1,0,0,1,1,4,3
1000669,0,0.5,0,0,7,7,0,1
1000670,7,6,0,0,1,0.5,4,2
1000671,0,1,0.5,0,3,2,3,4
