Participant,JudgedSpeed,PaddleLength,BallSpeed,TrialNumber,BackgroundColor,HitOrMiss,BlockNumber
1,0,250,2,69,blue,1,3
1,1,50,6,70,red,1,3
1,0,250,3,71,red,1,3
1,0,50,2,72,blue,1,3
1,1,250,6,73,red,1,4
1,0,250,4,74,blue,1,4
1,0,250,4,75,red,1,4
1,0,50,4,76,blue,0,4
1,1,250,6,77,blue,0,4
1,0,50,3,78,blue,1,4
1,1,50,7,79,blue,1,4
1,0,50,4,80,red,0,4
1,0,250,3,81,blue,1,4
1,1,50,7,82,red,0,4
1,0,50,3,83,red,1,4
1,1,50,6,84,red,1,4
1,0,250,2,85,blue,1,4
1,0,50,2,86,red,1,4
1,0,50,5,87,red,0,4
1,0,50,2,88,blue,0,4
1,1,50,5,89,blue,1,4
1,0,250,3,90,red,1,4
1,1,250,5,91,red,1,4
1,1,50,6,92,blue,0,4
1,1,250,5,93,blue,1,4
1,1,250,7,94,red,1,4
1,0,250,2,95,red,1,4
1,1,250,7,96,blue,1,4
1,0,50,3,97,red,1,5
1,0,50,3,98,blue,1,5
1,1,50,5,99,red,1,5
1,0,50,2,100,blue,1,5
1,1,50,6,101,blue,0,5
1,0,50,4,102,red,1,5
1,0,250,4,103,red,1,5
1,1,250,7,104,red,1,5
1,1,250,7,105,blue,0,5
1,1,50,7,106,blue,0,5
1,0,250,5,107,blue,1,5
1,0,250,6,108,blue,1,5
1,1,50,7,109,red,0,5
1,0,50,2,110,red,0,5
1,1,50,6,111,red,0,5
1,0,250,3,112,blue,1,5
1,0,250,5,113,red,1,5
1,0,50,5,114,blue,1,5
1,0,250,2,115,red,1,5
1,0,250,2,116,blue,1,5
1,0,250,3,117,red,1,5
1,0,250,4,118,blue,1,5
1,0,50,4,119,blue,0,5
1,1,250,6,120,red,1,5
1,0,250,2,121,blue,1,6
1,0,50,4,122,blue,0,6
1,0,250,3,123,blue,1,6
1,0,250,3,124,red,1,6
1,1,250,6,125,red,1,6
1,0,250,4,126,blue,1,6
1,1,250,7,127,red,1,6
1,1,50,7,128,red,0,6
1,0,250,5,129,blue,1,6
1,0,50,3,130,blue,0,6
1,0,50,2,131,blue,0,6
1,0,50,5,132,blue,1,6
1,1,50,5,133,red,1,6
1,1,50,6,134,red,1,6
1,1,50,6,135,blue,0,6
1,1,50,7,136,blue,0,6
1,0,50,2,137,red,0,6
1,1,250,7,138,blue,1,6
1,0,50,3,139,red,1,6
1,1,250,6,140,blue,1,6
1,0,250,2,141,red,1,6
1,0,250,4,142,red,1,6
1,1,250,5,143,red,1,6
1,1,50,4,144,red,0,6
1,1,250,6,145,blue,1,7
1,1,50,6,146,blue,1,7
1,0,50,3,147,blue,0,7
1,1,250,6,148,red,1,7
1,0,250,3,149,blue,1,7
1,1,50,6,150,red,0,7
1,1,50,5,151,blue,0,7
1,0,50,2,152,red,0,7
1,0,50,4,153,red,0,7
1,0,50,4,154,blue,0,7
1,0,50,3,155,red,1,7
1,1,50,7,156,red,0,7
1,1,50,5,157,red,0,7
1,0,250,4,158,blue,1,7
1,0,250,5,159,red,1,7
1,1,250,7,160,red,1,7
1,0,250,4,161,red,1,7
1,0,50,2,162,blue,0,7
1,1,250,5,163,blue,1,7
1,1,250,7,164,blue,1,7
1,0,250,2,165,red,1,7
1,0,250,2,166,blue,1,7
1,0,250,3,167,red,1,7
1,1,50,7,168,blue,1,7
1,0,50,4,169,blue,0,8
1,1,50,6,170,red,0,8
1,1,250,6,171,blue,1,8
1,0,50,2,172,blue,0,8
1,0,250,2,173,blue,1,8
1,0,250,3,174,red,1,8
1,1,50,7,175,blue,0,8
1,1,250,7,176,blue,1,8
1,0,250,2,177,red,1,8
1,1,250,7,178,red,1,8
1,0,250,4,179,blue,0,8
1,0,250,5,180,blue,1,8
1,1,250,6,181,red,1,8
1,0,50,3,182,red,0,8
1,0,250,3,183,blue,1,8
1,0,50,5,184,red,0,8
1,0,50,2,185,red,0,8
1,1,250,4,186,red,1,8
1,1,50,7,187,red,1,8
1,1,50,4,188,red,1,8
1,0,50,3,189,blue,0,8
1,1,50,6,190,blue,0,8
1,0,50,5,191,blue,1,8
1,0,250,5,192,red,1,8
1,0,250,4,193,red,1,9
1,1,250,6,194,red,1,9
1,0,250,2,195,red,1,9
1,1,50,6,196,blue,0,9
1,0,50,3,197,blue,1,9
1,0,50,4,198,blue,1,9
1,0,50,5,199,blue,1,9
1,1,50,7,200,red,1,9
1,0,250,4,201,blue,0,9
1,0,250,3,202,red,1,9
1,1,50,6,203,red,0,9
1,0,50,4,204,red,0,9
1,1,250,6,205,blue,1,9
1,1,250,7,206,red,0,9
1,0,50,2,207,blue,1,9
1,0,50,2,208,red,1,9
1,1,250,5,209,blue,1,9
1,1,50,5,210,red,0,9
1,0,250,5,211,red,1,9
1,0,50,3,212,red,1,9
1,0,250,2,213,blue,1,9
1,1,250,7,214,blue,0,9
1,1,50,7,215,blue,1,9
1,1,250,3,216,blue,1,9
1,0,250,3,217,blue,1,10
1,0,250,2,218,blue,1,10
1,0,250,2,219,red,1,10
1,1,250,6,220,blue,1,10
1,1,50,7,221,blue,0,10
1,0,50,2,222,blue,1,10
1,0,50,3,223,red,1,10
1,0,250,4,224,blue,1,10
1,1,50,6,225,blue,0,10
1,1,250,7,226,blue,1,10
1,1,50,7,227,red,0,10
1,0,250,4,228,red,1,10
1,1,50,5,229,blue,0,10
1,1,250,6,230,red,1,10
1,1,50,6,231,red,0,10
1,1,50,5,232,red,0,10
1,0,250,3,233,red,1,10
1,0,50,2,234,red,1,10
1,1,50,4,235,blue,1,10
1,1,250,5,236,blue,1,10
1,0,50,3,237,blue,1,10
1,1,250,5,238,red,1,10
1,1,50,4,239,red,0,10
1,1,250,7,240,red,1,10
1,0,50,5,241,blue,0,11
1,0,250,2,242,red,1,11
1,0,50,3,243,blue,1,11
1,0,50,4,244,red,0,11
1,1,50,6,245,blue,0,11
1,1,250,5,246,red,1,11
1,1,250,5,247,blue,0,11
1,1,250,7,248,blue,1,11
1,1,50,7,249,blue,0,11
1,0,250,3,250,blue,1,11
1,1,250,7,251,red,1,11
1,0,250,2,252,blue,1,11
1,1,250,6,253,blue,1,11
1,1,50,6,254,red,0,11
1,0,250,3,255,red,0,11
1,0,250,4,256,blue,1,11
1,0,50,3,257,red,1,11
1,0,250,4,258,red,1,11
1,1,50,7,259,red,1,11
1,1,50,5,260,red,0,11
1,0,50,2,261,red,0,11
1,0,50,2,262,blue,0,11
1,1,250,6,263,red,1,11
1,0,50,4,264,blue,0,11
1,0,50,2,265,red,0,12
1,0,50,3,266,red,1,12
1,1,250,7,267,red,1,12
1,1,250,6,268,blue,1,12
1,0,250,2,269,blue,1,12
1,1,50,7,270,blue,1,12
1,0,50,3,271,blue,0,12
1,0,250,4,272,red,1,12
1,1,250,5,273,red,1,12
1,0,250,4,274,blue,1,12
1,1,250,7,275,blue,0,12
1,0,250,3,276,blue,0,12
1,1,250,5,277,blue,1,12
1,1,50,5,278,red,0,12
1,0,50,4,279,blue,0,12
1,1,50,6,280,red,1,12
1,0,50,2,281,blue,1,12
1,1,250,6,282,red,1,12
1,0,250,2,283,red,1,12
1,1,50,4,284,red,1,12
1,1,50,7,285,red,0,12
1,0,250,3,286,red,1,12
1,1,50,5,287,blue,0,12
1,1,50,6,288,blue,0,12
2,0,250,2,1,blue,1,1
2,0,50,2,2,blue,0,1
2,1,50,7,3,red,0,1
2,0,250,4,4,blue,0,1
2,1,50,4,5,blue,0,1
2,0,250,4,6,red,1,1
2,1,250,7,7,blue,0,1
2,0,250,3,8,blue,0,1
2,1,250,7,9,red,0,1
2,0,50,5,10,blue,0,1
2,1,250,6,11,red,1,1
2,0,50,3,12,blue,1,1
2,0,250,2,13,red,1,1
2,1,50,6,14,red,0,1
2,0,50,3,15,red,0,1
2,1,50,6,16,blue,0,1
2,1,50,5,17,red,0,1
2,1,250,6,18,blue,0,1
2,0,50,4,19,red,1,1
2,1,250,5,20,blue,0,1
2,0,50,2,21,red,1,1
2,0,250,3,22,red,1,1
2,1,250,5,23,red,0,1
2,1,50,7,24,blue,1,1
2,1,250,6,25,blue,1,2
2,0,250,4,26,blue,1,2
2,0,250,5,27,blue,1,2
2,1,50,7,28,red,0,2
2,0,50,4,29,red,0,2
2,1,50,5,30,blue,0,2
2,0,50,3,31,blue,1,2
2,1,250,7,32,red,1,2
2,1,50,4,33,blue,0,2
2,0,50,2,34,red,1,2
2,0,50,3,35,red,1,2
2,0,250,3,36,red,0,2
2,0,250,3,37,blue,1,2
2,1,250,6,38,red,1,2
2,0,50,2,39,blue,0,2
2,1,50,5,40,red,0,2
2,0,250,4,41,red,0,2
2,1,50,6,42,blue,1,2
2,1,250,7,43,blue,1,2
2,1,50,6,44,red,0,2
2,1,250,5,45,red,1,2
2,0,250,2,46,blue,1,2
2,0,250,2,47,red,1,2
2,1,50,7,48,blue,0,2
2,0,250,4,49,blue,1,3
2,0,250,4,50,red,1,3
2,1,250,7,51,red,1,3
2,1,50,7,52,red,0,3
2,1,250,5,53,red,0,3
2,0,250,3,54,blue,1,3
2,0,250,2,55,red,1,3
2,0,250,3,56,red,1,3
2,1,50,6,57,red,1,3
2,1,50,4,58,red,0,3
2,1,50,5,59,blue,0,3
2,1,250,6,60,blue,1,3
2,0,250,2,61,blue,1,3
2,1,50,6,62,blue,0,3
2,1,250,5,63,blue,1,3
2,0,50,2,64,red,1,3
2,0,50,3,65,blue,1,3
2,0,50,3,66,red,0,3
2,1,250,7,67,blue,1,3
2,1,50,5,68,red,1,3
2,1,250,6,69,red,1,3
2,1,50,4,70,blue,0,3
2,1,50,7,71,blue,0,3
2,0,50,2,72,blue,1,3
2,0,250,2,73,red,1,4
2,0,250,3,74,blue,0,4
2,1,50,5,75,red,1,4
2,1,250,7,76,blue,1,4
2,0,50,2,77,red,0,4
2,1,250,6,78,blue,1,4
2,0,50,4,79,blue,0,4
2,0,250,5,80,red,1,4
2,1,250,6,81,red,1,4
2,1,50,7,82,blue,1,4
2,0,50,3,83,red,1,4
2,1,50,4,84,red,0,4
2,1,50,3,85,blue,0,4
2,1,50,5,86,blue,0,4
2,0,250,2,87,blue,1,4
2,1,50,6,88,red,0,4
2,1,250,7,89,red,1,4
2,0,50,2,90,blue,0,4
2,1,250,5,91,blue,1,4
2,1,50,6,92,blue,1,4
2,1,250,4,93,red,0,4
2,1,250,4,94,blue,1,4
2,0,250,3,95,red,1,4
2,1,50,7,96,red,0,4
2,1,250,6,97,blue,1,5
2,1,50,7,98,blue,0,5
2,1,250,5,99,red,1,5
2,0,250,2,100,red,1,5
2,0,250,2,101,blue,1,5
2,1,50,4,102,red,0,5
2,1,250,4,103,red,1,5
2,1,50,7,104,red,0,5
2,1,250,4,105,blue,0,5
2,1,250,5,106,blue,0,5
2,1,250,7,107,blue,1,5
2,0,50,4,108,blue,0,5
2,1,50,5,109,blue,0,5
2,0,50,3,110,red,1,5
2,0,50,6,111,blue,0,5
2,0,250,3,112,red,1,5
2,0,50,2,113,red,0,5
2,1,250,6,114,red,1,5
2,0,50,6,115,red,0,5
2,0,50,2,116,blue,0,5
2,0,250,3,117,blue,1,5
2,0,50,3,118,blue,1,5
2,1,250,7,119,red,1,5
2,0,50,5,120,red,0,5
2,1,50,7,121,red,1,6
2,1,50,5,122,red,1,6
2,1,50,4,123,blue,1,6
2,0,250,3,124,blue,1,6
2,0,50,2,125,red,1,6
2,1,250,5,126,red,1,6
2,1,250,6,127,red,1,6
2,1,50,7,128,blue,0,6
2,0,250,2,129,blue,1,6
2,1,250,4,130,red,0,6
2,0,50,2,131,blue,0,6
2,1,50,6,132,red,0,6
2,1,50,5,133,blue,0,6
2,1,250,6,134,blue,1,6
2,0,50,4,135,red,0,6
2,0,50,3,136,red,0,6
2,0,250,3,137,red,1,6
2,1,250,7,138,red,1,6
2,0,250,2,139,red,1,6
2,1,50,6,140,blue,1,6
2,1,250,5,141,blue,0,6
2,1,250,7,142,blue,1,6
2,0,250,4,143,blue,1,6
2,1,50,3,144,blue,1,6
2,1,50,7,145,red,1,7
2,1,250,6,146,red,1,7
2,1,50,5,147,red,0,7
2,1,250,6,148,blue,1,7
2,1,50,4,149,red,0,7
2,1,250,3,150,red,1,7
2,0,50,4,151,blue,0,7
2,1,50,3,152,red,1,7
2,0,50,7,153,blue,0,7
2,1,50,6,154,red,1,7
2,0,50,5,155,blue,0,7
2,0,250,4,156,red,1,7
2,1,250,7,157,blue,1,7
2,1,250,5,158,blue,1,7
2,0,50,3,159,blue,1,7
2,0,250,4,160,blue,1,7
2,0,50,2,161,red,1,7
2,1,50,6,162,blue,1,7
2,1,250,5,163,red,0,7
2,0,50,2,164,blue,0,7
2,0,250,2,165,red,1,7
2,0,250,2,166,blue,1,7
2,0,250,3,167,blue,1,7
2,1,250,7,168,red,1,7
2,1,250,5,169,red,1,8
2,0,250,3,170,red,1,8
2,0,250,5,171,blue,1,8
2,0,50,6,172,red,1,8
2,1,50,7,173,red,0,8
2,1,50,5,174,red,0,8
2,1,250,4,175,blue,1,8
2,0,250,3,176,blue,1,8
2,1,50,5,177,blue,0,8
2,1,250,7,178,blue,1,8
2,1,50,2,179,blue,0,8
2,0,250,6,180,red,1,8
2,0,50,4,181,red,0,8
2,0,50,4,182,blue,0,8
2,0,50,3,183,blue,0,8
2,0,50,2,184,red,0,8
2,0,250,4,185,red,1,8
2,1,50,6,186,blue,0,8
2,0,50,3,187,red,0,8
2,0,50,7,188,blue,1,8
2,1,250,6,189,blue,1,8
2,1,250,7,190,red,1,8
2,0,250,2,191,red,1,8
2,0,250,2,192,blue,1,8
2,0,250,5,193,blue,1,9
2,0,50,4,194,blue,1,9
2,0,50,5,195,blue,1,9
2,0,50,3,196,red,0,9
2,1,50,6,197,blue,1,9
2,1,250,4,198,red,1,9
2,1,250,7,199,blue,1,9
2,1,250,6,200,red,1,9
2,1,250,5,201,red,1,9
2,0,50,7,202,blue,0,9
2,1,50,7,203,red,1,9
2,1,50,5,204,red,0,9
2,1,250,7,205,red,1,9
2,1,250,6,206,blue,1,9
2,0,250,3,207,red,1,9
2,0,250,4,208,blue,1,9
2,0,50,3,209,blue,0,9
2,0,250,3,210,blue,0,9
2,0,250,2,211,blue,1,9
2,0,50,4,212,red,0,9
2,0,50,6,213,red,0,9
2,0,250,2,214,red,0,9
2,0,50,2,215,blue,1,9
2,0,50,2,216,red,1,9
2,1,250,7,217,blue,1,10
2,1,50,5,218,blue,0,10
2,1,250,7,219,red,1,10
2,0,250,3,220,red,1,10
2,1,50,7,221,blue,1,10
2,0,250,2,222,blue,1,10
2,0,250,5,223,red,1,10
2,1,50,6,224,blue,1,10
2,0,50,3,225,blue,0,10
2,0,250,2,226,red,1,10
2,1,250,5,227,blue,1,10
2,1,50,6,228,red,0,10
2,0,250,4,229,red,1,10
2,1,50,4,230,red,1,10
2,0,50,2,231,red,1,10
2,0,50,4,232,blue,1,10
2,1,50,5,233,red,0,10
2,0,50,2,234,blue,0,10
2,0,250,3,235,blue,1,10
2,0,50,7,236,red,1,10
2,0,50,3,237,red,1,10
2,1,250,6,238,red,1,10
2,0,250,4,239,blue,0,10
2,1,250,6,240,blue,1,10
2,0,250,3,241,red,0,11
2,0,250,3,242,blue,1,11
2,0,50,2,243,red,0,11
2,0,250,4,244,blue,1,11
2,0,50,3,245,red,1,11
2,1,250,6,246,red,1,11
2,1,250,5,247,red,1,11
2,1,50,6,248,blue,0,11
2,1,50,7,249,blue,1,11
2,0,250,2,250,blue,1,11
2,1,50,6,251,red,0,11
2,0,50,2,252,blue,1,11
2,0,250,5,253,blue,1,11
2,0,250,2,254,red,1,11
2,0,250,4,255,red,0,11
2,0,50,4,256,red,0,11
2,0,50,5,257,red,1,11
2,1,50,5,258,blue,1,11
2,1,50,4,259,blue,0,11
2,1,250,7,260,blue,0,11
2,1,250,6,261,blue,1,11
2,1,250,7,262,red,1,11
2,0,50,3,263,blue,0,11
2,1,50,7,264,red,1,11
2,1,50,5,265,red,0,12
2,1,250,7,266,blue,1,12
2,1,50,6,267,blue,1,12
2,1,250,5,268,blue,1,12
2,0,250,3,269,red,1,12
2,1,250,6,270,red,1,12
2,0,250,2,271,red,1,12
2,0,50,3,272,blue,0,12
2,1,50,7,273,red,0,12
2,1,50,5,274,blue,0,12
2,0,250,2,275,blue,1,12
2,0,50,4,276,blue,1,12
2,1,250,6,277,blue,1,12
2,0,50,4,278,red,0,12
2,1,250,7,279,red,1,12
2,0,50,3,280,red,1,12
2,0,250,3,281,blue,0,12
2,1,50,6,282,red,1,12
2,0,50,2,283,blue,1,12
2,1,50,7,284,blue,0,12
2,1,250,5,285,red,1,12
2,0,50,2,286,red,0,12
2,1,250,4,287,blue,1,12
2,1,250,4,288,red,1,12
3,0,50,2,1,red,1,1
3,1,250,6,2,red,1,1
3,1,250,4,3,red,1,1
3,0,250,2,4,blue,1,1
3,1,50,4,5,red,0,1
3,1,250,5,6,red,1,1
3,1,250,7,7,red,1,1
3,1,250,4,8,blue,1,1
3,0,50,3,9,blue,1,1
3,0,50,2,10,blue,1,1
3,0,250,3,11,blue,1,1
3,1,50,5,12,blue,1,1
3,1,50,5,13,red,1,1
3,1,250,7,14,blue,1,1
3,1,250,5,15,blue,1,1
3,0,250,3,16,red,1,1
3,1,50,6,17,blue,0,1
3,0,50,4,18,blue,0,1
3,1,50,6,19,red,1,1
3,0,50,3,20,red,1,1
3,1,250,6,21,blue,1,1
3,1,50,7,22,blue,1,1
3,0,250,2,23,red,1,1
3,1,50,7,24,red,1,1
3,0,250,2,25,blue,1,2
3,1,250,6,26,red,1,2
3,1,50,6,27,red,1,2
3,0,250,5,28,blue,1,2
3,0,50,5,29,red,0,2
3,0,250,3,30,blue,1,2
3,0,50,2,31,red,0,2
3,0,250,3,32,red,1,2
3,0,250,4,33,blue,1,2
3,0,50,2,34,blue,0,2
3,1,50,6,35,blue,0,2
3,1,50,5,36,blue,1,2
3,1,250,7,37,blue,1,2
3,1,250,5,38,red,1,2
3,1,50,4,39,blue,1,2
3,0,50,4,40,red,0,2
3,0,50,3,41,blue,0,2
3,1,50,7,42,blue,1,2
3,1,50,7,43,red,0,2
3,0,50,3,44,red,1,2
3,0,250,2,45,red,1,2
3,0,250,4,46,red,1,2
3,1,250,6,47,blue,1,2
3,1,250,7,48,red,1,2
3,1,50,7,49,blue,1,3
3,1,50,5,50,blue,1,3
3,0,50,3,51,red,1,3
3,0,250,3,52,blue,1,3
3,0,250,3,53,red,1,3
3,0,50,3,54,blue,1,3
3,0,250,2,55,blue,1,3
3,0,250,4,56,red,1,3
3,1,50,6,57,blue,1,3
3,0,50,2,58,red,1,3
3,0,50,4,59,red,0,3
3,0,50,2,60,blue,0,3
3,1,250,7,61,red,1,3
3,1,50,7,62,red,1,3
3,1,50,6,63,red,1,3
3,1,250,6,64,red,0,3
3,1,50,5,65,red,0,3
3,1,250,6,66,blue,1,3
3,1,250,7,67,blue,1,3
3,0,250,4,68,blue,1,3
3,0,250,2,69,red,1,3
3,1,250,5,70,red,1,3
3,1,250,5,71,blue,1,3
3,1,50,4,72,blue,1,3
3,0,250,3,73,blue,1,4
3,0,250,4,74,blue,0,4
3,1,250,6,75,red,1,4
3,1,250,6,76,blue,1,4
3,0,50,3,77,blue,0,4
3,0,250,2,78,red,1,4
3,0,250,2,79,blue,1,4
3,1,50,7,80,blue,1,4
3,1,250,5,81,red,1,4
3,0,50,3,82,red,0,4
3,1,50,4,83,red,0,4
3,1,50,6,84,blue,1,4
3,0,50,2,85,blue,1,4
3,1,250,7,86,blue,1,4
3,1,50,5,87,red,1,4
3,1,50,7,88,red,1,4
3,0,250,3,89,red,1,4
3,1,50,5,90,blue,1,4
3,0,50,2,91,red,0,4
3,0,50,4,92,blue,0,4
3,1,250,5,93,blue,1,4
3,1,250,7,94,red,0,4
3,1,250,4,95,red,1,4
3,1,50,6,96,red,0,4
3,1,50,5,97,red,1,5
3,0,50,3,98,blue,1,5
3,0,50,3,99,red,0,5
3,0,50,4,100,red,0,5
3,1,50,6,101,blue,0,5
3,1,50,4,102,blue,0,5
3,1,250,6,103,red,1,5
3,0,250,2,104,blue,1,5
3,0,250,3,105,red,1,5
3,1,250,7,106,blue,1,5
3,1,250,5,107,blue,1,5
3,1,250,5,108,red,1,5
3,1,50,5,109,blue,0,5
3,0,250,4,110,blue,1,5
3,1,250,6,111,blue,1,5
3,0,50,2,112,blue,0,5
3,0,250,2,113,red,0,5
3,1,50,6,114,red,0,5
3,1,250,7,115,red,1,5
3,1,50,7,116,red,1,5
3,0,250,4,117,red,1,5
3,0,50,2,118,red,0,5
3,0,250,3,119,blue,1,5
3,1,50,7,120,blue,1,5
3,0,50,3,121,red,0,6
3,0,250,3,122,blue,0,6
3,1,250,5,123,red,1,6
3,0,250,4,124,blue,1,6
3,0,50,2,125,red,0,6
3,1,50,3,126,blue,1,6
3,1,250,6,127,blue,1,6
3,0,50,2,128,blue,0,6
3,1,50,6,129,blue,0,6
3,0,250,4,130,red,1,6
3,1,250,6,131,red,1,6
3,1,50,5,132,red,1,6
3,1,250,7,133,red,0,6
3,0,50,4,134,red,0,6
3,0,50,4,135,blue,0,6
3,1,250,5,136,blue,1,6
3,1,50,6,137,red,0,6
3,1,50,7,138,blue,0,6
3,0,250,2,139,red,1,6
3,1,50,7,140,red,0,6
3,0,250,3,141,red,1,6
3,1,50,5,142,blue,1,6
3,0,250,2,143,blue,1,6
3,1,250,7,144,blue,1,6
3,0,250,2,145,red,1,7
3,0,50,4,146,blue,0,7
3,0,50,3,147,blue,0,7
3,0,50,3,148,red,0,7
3,1,50,6,149,blue,1,7
3,1,250,5,150,blue,1,7
3,1,50,5,151,blue,0,7
3,0,50,2,152,red,0,7
3,1,250,7,153,red,1,7
3,1,250,4,154,red,1,7
3,1,250,6,155,red,1,7
3,1,250,5,156,red,1,7
3,1,50,7,157,red,0,7
3,0,250,3,158,blue,1,7
3,1,50,4,159,red,0,7
3,0,250,2,160,blue,1,7
3,1,50,5,161,red,0,7
3,1,50,6,162,red,0,7
3,1,250,4,163,blue,0,7
3,1,250,3,164,red,1,7
3,1,250,6,165,blue,1,7
3,0,50,2,166,blue,0,7
3,1,250,7,167,blue,0,7
3,1,50,7,168,blue,1,7
3,0,50,3,169,blue,0,8
3,1,50,7,170,red,1,8
3,1,50,4,171,blue,0,8
3,1,250,7,172,blue,1,8
3,0,50,2,173,red,0,8
3,1,250,5,174,red,1,8
3,0,50,2,175,blue,1,8
3,0,250,2,176,blue,1,8
3,1,50,5,177,blue,0,8
3,1,50,3,178,red,0,8
3,1,50,5,179,red,1,8
3,1,50,4,180,red,1,8
3,1,250,5,181,blue,1,8
3,0,250,2,182,red,1,8
3,0,250,3,183,red,1,8
3,1,250,6,184,blue,1,8
3,1,50,7,185,blue,1,8
3,1,250,7,186,red,1,8
3,0,250,4,187,blue,1,8
3,1,250,4,188,red,1,8
3,1,50,6,189,red,0,8
3,1,50,6,190,blue,0,8
3,1,250,6,191,red,1,8
3,0,250,3,192,blue,1,8
3,1,250,6,193,blue,1,9
3,1,250,3,194,blue,1,9
3,0,250,4,195,blue,1,9
3,1,50,7,196,blue,1,9
3,0,50,2,197,red,1,9
3,1,50,5,198,blue,0,9
3,1,250,5,199,red,1,9
3,1,250,7,200,red,1,9
3,0,250,3,201,red,1,9
3,1,50,4,202,red,0,9
3,1,250,4,203,red,1,9
3,1,250,5,204,blue,0,9
3,1,250,7,205,blue,1,9
3,1,50,5,206,red,1,9
3,0,250,2,207,red,1,9
3,1,50,6,208,blue,0,9
3,0,50,2,209,blue,1,9
3,1,50,7,210,red,1,9
3,1,250,6,211,red,1,9
3,1,50,4,212,blue,1,9
3,1,50,3,213,red,1,9
3,0,50,3,214,blue,0,9
3,1,50,6,215,red,1,9
3,0,250,2,216,blue,0,9
3,0,250,4,217,blue,1,10
3,0,50,2,218,red,1,10
3,0,250,2,219,blue,1,10
3,1,50,4,220,red,1,10
3,1,50,6,221,blue,1,10
3,0,250,3,222,red,1,10
3,1,50,7,223,red,0,10
3,0,50,5,224,blue,1,10
3,1,250,7,225,red,1,10
3,1,250,6,226,red,1,10
3,0,50,3,227,blue,1,10
3,1,50,4,228,blue,0,10
3,1,250,7,229,blue,1,10
3,1,250,6,230,blue,1,10
3,0,250,3,231,blue,1,10
3,1,50,5,232,red,1,10
3,1,250,5,233,blue,1,10
3,1,50,7,234,blue,0,10
3,1,50,6,235,red,1,10
3,0,250,2,236,red,1,10
3,0,250,4,237,red,1,10
3,0,50,3,238,red,1,10
3,1,250,5,239,red,1,10
3,0,50,2,240,blue,0,10
3,1,250,6,241,blue,1,11
3,1,250,6,242,red,1,11
3,1,50,5,243,blue,1,11
3,1,250,5,244,red,1,11
3,0,50,2,245,blue,1,11
3,1,250,3,246,blue,1,11
3,1,50,7,247,red,1,11
3,1,250,7,248,blue,1,11
3,1,50,7,249,blue,1,11
3,0,50,4,250,blue,0,11
3,1,250,5,251,blue,1,11
3,1,250,4,252,red,1,11
3,0,250,2,253,blue,1,11
3,1,50,3,254,blue,0,11
3,1,50,5,255,red,1,11
3,1,250,7,256,red,1,11
3,1,50,6,257,red,1,11
3,1,250,4,258,blue,1,11
3,0,250,2,259,red,1,11
3,1,50,3,260,red,0,11
3,1,50,6,261,blue,1,11
3,0,50,2,262,red,0,11
3,1,50,4,263,red,0,11
3,1,250,3,264,red,1,11
3,1,50,4,265,red,1,12
