Serial,WBOptimf,WBUseful,WBRelax,WBIntp,WBEnergy,WBDealpr,WBThkclr,WBGoodme,WBClsep,WBConfid,WBMkmind,WBLoved,WBIntthg,WBCheer
1006075,2,3,2,2,1,2,3,1,3,1,2,2,1,1
1053020,2,3,1,2,3,3,3,2,3,2,3,3,2,2
1058737,2,4,4,4,4,4,4,4,3,3,5,4,4,4
1068518,4,4,3,3,3,5,4,3,4,4,2,5,2,3
1038220,3,3,5,5,4,5,4,4,4,4,5,5,5,5
1038357,3,2,3,2,3,2,2,1,4,2,2,2,4,3
1067950,2,3,3,3,3,4,4,3,3,3,3,3,4,3
1049176,4,3,2,3,2,3,3,3,3,2,3,4,3,2
1042306,4,3,3,3,2,3,3,3,3,3,4,3,4,3
1071756,2,1,2,2,5,3,2,2,2,2,3,5,4,3
1060703,1,1,2,3,4,1,3,3,4,3,1,4,3,3
1025573,3,4,4,4,4,4,4,4,4,4,4,5,5,5
1038539,4,3,2,3,3,3,3,3,2,4,5,5,3,3
1044196,3,3,2,3,4,4,4,3,3,4,5,4,3,4
1043358,3,4,3,3,2,2,4,4,4,4,4,5,4,3
1078641,2,2,2,3,2,2,2,2,2,2,3,2,3,2
1027022,5,5,3,3,4,4,5,5,3,5,5,5,3,3
1017418,2,1,1,4,2,4,3,2,3,4,5,5,4,4
1017432,3,2,4,2,2,4,3,4,5,4,4,5,3,4
1023775,1,2,1,1,1,1,2,1,3,1,1,3,2,1
1037353,4,4,3,4,2,4,3,4,3,4,4,4,3,4
1014922,2,1,1,3,2,2,3,1,2,1,4,1,4,1
1023689,4,5,4,2,3,4,3,4,5,4,4,5,2,4
1033060,1,1,2,1,1,1,1,1,1,1,4,1,1,1
1033895,4,4,3,5,4,4,5,5,5,5,5,5,5,5
1101853,2,3,3,4,4,3,3,3,4,3,3,5,4,3
1024903,2,2,1,2,2,1,1,1,2,1,3,4,3,2
1067763,5,5,5,4,4,4,4,4,5,5,5,5,4,5
1071658,5,3,2,1,5,3,5,3,5,4,5,5,4,4
1051348,2,4,3,1,3,1,3,3,3,1,2,5,3,3
1013717,4,4,4,4,2,4,4,4,4,2,3,5,3,4
1027600,2,2,3,1,2,1,2,1,3,3,3,5,5,3
1074087,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1012266,1,1,1,2,2,3,1,1,2,1,3,1,1,4
1015854,3,3,4,4,3,3,4,2,4,3,4,4,4,3
1036117,3,3,2,4,3,1,2,5,5,5,5,5,2,2
1014447,3,2,3,3,3,4,3,2,3,2,2,4,3,2
1014566,3,2,2,2,3,3,4,2,4,3,3,4,2,4
1036859,4,4,3,3,3,4,3,4,4,4,3,5,4,4
1035627,3,2,3,4,4,3,4,2,2,2,3,4,2,2
1057357,3,4,4,3,4,3,3,3,4,4,4,3,4,3
1061454,3,2,3,3,3,3,3,2,3,3,3,3,3,3
1078932,3,2,4,4,3,3,3,3,2,3,4,3,4,3
1068655,4,3,2,2,1,2,3,3,2,2,5,4,3,2
1028296,1,1,2,2,1,2,3,2,3,2,2,4,2,3
1041988,3,3,2,2,2,4,4,3,2,2,4,2,2,3
1065135,3,3,4,4,3,3,3,4,4,4,3,3,4,4
1015560,4,3,4,4,3,4,5,4,4,5,5,3,4,5
1015566,3,3,2,3,2,4,3,4,5,4,4,5,3,4
1097773,1,1,1,5,5,4,5,3,5,5,5,3,1,5
1056109,3,2,2,2,3,2,2,2,3,3,3,3,2,3
1018512,3,2,2,4,1,1,4,3,1,3,5,4,4,1
1030553,3,3,5,3,3,5,5,5,3,5,5,5,3,5
1008255,3,3,3,4,2,2,3,3,5,4,4,5,4,3
1112194,1,2,1,2,2,3,3,2,2,3,3,1,3,1
1049760,3,3,3,3,2,2,3,3,3,3,3,3,3,3
1084951,3,2,2,2,2,2,2,3,2,5,3,3,2,4
1085028,1,1,2,2,2,2,2,2,2,2,2,1,2,2
1097758,3,4,3,3,3,3,3,3,3,3,3,3,3,3
1089568,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1091229,2,5,5,3,4,4,4,4,4,5,5,5,4,5
1101107,5,4,2,4,1,1,5,5,4,3,2,1,2,3
1010238,4,3,2,3,4,4,2,2,4,2,4,4,4,4
1014883,5,4,4,1,5,5,5,5,5,5,5,5,5,4
1081241,3,2,2,4,3,3,3,2,4,2,4,4,3,4
1079212,2,1,4,3,1,3,2,2,3,1,4,2,2,3
1087682,3,3,3,3,3,3,3,3,3,3,4,4,3,4
1095991,3,3,2,4,2,4,3,2,3,1,4,4,4,2
1017945,5,5,5,4,5,5,5,5,5,5,5,5,5,5
1048896,3,5,3,2,4,1,2,2,3,2,1,5,2,2
1001747,3,2,2,3,1,2,2,2,2,2,2,2,4,2
1001772,3,4,2,2,2,3,3,4,4,2,2,5,3,4
1026944,3,3,4,4,3,3,3,3,3,3,3,3,3,3
1008109,3,2,2,3,2,3,3,2,2,2,3,3,3,2
1045710,4,4,4,4,3,4,4,4,4,4,4,5,4,4
1020525,2,1,3,1,2,3,3,3,3,4,4,2,2,3
1061587,4,4,3,4,2,4,3,3,5,3,4,4,3,4
1027498,4,4,4,3,3,4,4,4,3,4,4,3,3,4
1095393,4,4,3,2,3,4,4,4,4,5,5,4,5,4
1070673,2,3,4,2,4,4,4,5,2,4,5,5,5,4
1042082,1,1,2,2,3,3,2,2,2,1,4,3,2,1
1018648,2,2,1,3,1,1,1,1,1,1,1,1,1,1
1028851,1,3,4,4,4,3,3,4,4,4,3,4,4,4
1017170,4,3,2,2,5,1,1,1,1,1,2,1,3,1
1074640,2,4,4,4,5,5,5,3,5,4,5,4,4,5
1017722,3,2,2,3,2,4,4,3,3,3,4,4,2,4
1023586,2,2,4,4,4,3,3,2,4,3,2,3,3,4
1049601,2,2,2,2,2,1,1,1,3,1,1,3,1,1
1011045,4,2,3,4,2,2,2,2,4,2,4,3,2,3
1011901,4,4,4,4,4,3,3,4,4,4,4,4,4,4
1037611,3,2,3,3,2,3,3,3,2,2,4,2,2,3
1037645,5,3,4,4,4,5,4,3,3,3,5,4,5,5
1043006,3,3,3,2,3,2,3,3,3,3,3,3,3,3
1001585,3,3,2,2,2,3,3,3,3,3,3,5,3,4
1024576,5,4,5,4,4,4,4,4,5,5,5,5,5,5
1012050,3,3,2,3,3,4,4,4,4,4,5,5,4,5
1026518,2,1,3,3,3,3,4,5,5,5,5,5,5,5
1062882,3,4,3,2,2,3,2,2,4,2,4,4,4,4
1048605,3,3,3,3,3,4,4,4,4,4,4,5,4,4
1048627,5,2,3,3,4,5,5,3,5,4,5,4,5,5
1048673,4,3,2,2,1,2,2,3,3,1,1,2,2,2
1057437,4,3,2,4,4,2,4,3,2,2,5,5,5,4
1073699,3,4,3,5,4,4,4,4,4,5,5,5,5,4
1073704,3,3,5,3,4,3,5,4,4,3,5,4,5,4
1073717,4,3,2,4,3,4,3,3,2,4,4,4,3,3
1059211,2,4,2,2,3,3,4,4,3,4,4,4,3,4
1059252,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1066498,3,3,2,3,2,3,3,3,3,3,4,4,2,4
1037815,3,2,4,4,3,2,2,2,4,3,3,4,5,2
1072223,4,3,3,4,3,3,3,3,4,3,3,4,3,3
1077103,2,3,3,2,2,3,4,3,5,4,4,5,2,3
1051943,3,4,4,4,4,4,4,4,5,4,5,5,4,4
1005371,3,2,1,3,1,3,3,2,2,2,3,4,4,2
1004230,4,2,3,3,2,4,4,3,2,3,4,2,2,3
1101108,3,4,5,5,5,5,5,5,5,5,5,5,4,5
1039479,3,4,4,4,2,5,4,2,4,3,3,4,4,4
1037702,4,4,4,4,5,2,3,3,4,4,4,4,4,4
1025833,4,3,3,4,5,2,3,4,4,4,5,4,3,3
1073612,1,4,3,5,3,4,5,3,5,3,5,5,5,4
1002610,2,5,3,2,2,3,2,2,2,1,2,4,2,1
1105175,1,2,2,2,3,3,2,2,3,2,3,2,2,2
1014701,3,3,2,3,3,2,2,2,3,3,3,3,3,3
1022001,3,4,2,3,4,4,4,4,5,4,4,5,5,5
1053710,4,3,2,2,2,1,3,1,5,1,5,3,3,2
1024891,5,5,4,5,4,4,5,4,4,4,5,5,4,4
1050883,5,4,4,5,4,4,4,5,5,5,4,5,5,4
1034006,4,3,2,3,1,3,1,1,1,1,3,1,3,3
1018721,3,3,3,2,3,3,3,3,4,2,3,3,2,2
1109094,3,3,4,4,3,4,4,4,4,4,4,4,4,4
1104139,3,3,4,3,4,3,3,3,3,4,5,2,3,4
1102411,4,4,4,3,3,5,4,4,5,4,4,4,3,4
1108597,4,2,3,4,4,4,3,3,3,3,4,3,3,3
1093403,3,3,3,3,4,3,3,3,3,3,4,5,4,3
1092513,4,4,4,4,3,4,4,4,4,4,4,4,4,4
1092746,3,4,2,3,2,4,4,3,4,2,2,5,3,3
1111928,4,4,2,4,4,4,3,4,4,4,3,3,4,3
1050637,3,3,4,4,5,5,5,4,5,4,4,5,4,4
1030689,4,3,2,2,2,3,3,3,4,4,4,3,4,3
1036539,2,4,2,4,4,3,2,2,2,3,5,3,4,2
1004099,3,3,2,4,3,3,4,3,4,3,5,3,4,3
1021447,2,2,4,3,3,2,3,2,2,3,4,4,1,3
1047978,4,4,4,3,3,4,4,4,3,3,5,4,4,4
1091744,4,4,4,2,3,5,4,4,3,4,4,5,5,4
1002178,2,1,3,3,3,2,2,2,3,2,1,4,2,2
1081332,4,2,3,3,2,4,4,4,3,4,4,3,3,4
1040896,4,3,2,3,2,4,3,3,4,3,3,3,4,3
1019518,1,2,3,4,2,4,4,3,4,2,3,3,4,3
1023205,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1004714,3,3,2,3,4,4,3,2,3,3,3,4,3,3
1012034,3,3,3,3,4,2,4,4,4,4,4,4,3,4
1118577,2,3,4,2,4,4,5,4,2,4,4,3,2,2
1067869,4,3,2,2,2,2,2,4,4,3,3,4,4,3
1021360,4,3,4,3,3,4,4,2,3,2,4,4,4,4
1049386,4,4,4,2,4,3,4,5,5,5,4,4,3,5
1097528,2,2,2,3,3,1,2,1,2,2,2,1,1,1
1105229,4,4,2,3,2,3,3,2,4,2,3,4,3,4
1033111,4,4,3,4,4,4,5,5,5,5,5,5,5,5
1111636,2,3,2,3,3,2,4,3,3,3,4,4,4,3
1096064,3,2,4,4,4,3,3,3,4,2,3,4,4,3
1091460,5,4,3,3,2,3,3,3,4,3,3,5,3,3
1059784,3,4,2,4,4,4,2,4,4,3,1,3,4,3
1020230,3,3,3,5,3,3,3,3,4,4,4,5,5,4
1022704,1,3,1,4,1,1,5,3,5,3,5,4,1,3
1018037,1,3,2,2,3,1,2,1,1,1,2,3,2,1
1006490,4,3,3,4,3,4,4,4,4,3,4,4,4,4
1027612,3,3,3,3,2,4,3,2,3,2,3,2,3,2
1014551,3,3,2,3,3,3,3,2,3,2,2,4,2,2
1048755,3,3,3,2,3,3,3,4,3,4,3,4,4,4
1014768,3,4,2,1,4,3,5,3,5,3,5,5,5,3
1112471,4,4,4,1,3,4,4,4,4,5,4,5,4,4
1086705,4,1,1,3,2,2,2,1,3,1,3,4,2,2
1005044,4,4,3,4,4,4,5,4,4,3,5,5,5,5
1066462,4,4,2,4,3,2,2,3,4,4,4,5,3,3
1084488,2,3,3,3,3,1,4,4,4,4,4,5,4,5
1005926,4,4,4,5,2,2,3,2,4,2,4,4,2,3
1007889,2,2,3,3,2,4,3,2,2,2,3,4,1,2
1111618,5,5,4,2,1,2,3,4,5,4,4,5,1,5
1105042,4,3,4,3,3,4,3,3,2,2,3,4,3,3
1073640,4,3,5,4,5,4,3,3,5,5,4,5,5,4
1060852,3,2,4,1,3,2,1,3,2,3,2,4,2,3
1091958,3,4,3,4,3,4,4,4,4,3,5,5,4,4
1034957,4,3,2,3,3,3,3,3,4,3,4,3,4,3
1005706,3,2,4,1,4,3,4,2,5,5,4,5,4,3
1052496,3,2,2,2,2,1,2,1,2,1,3,2,3,3
1109447,4,4,4,4,3,3,4,3,5,3,4,5,5,5
1100095,4,4,4,2,2,4,4,4,3,4,5,4,5,4
1005566,4,1,3,1,1,2,1,3,3,2,4,3,3,3
1003806,2,2,4,4,4,3,3,4,4,4,5,4,4,4
1099757,2,4,2,3,2,2,2,3,3,2,4,4,4,3
1004507,3,3,1,2,3,3,4,4,3,4,4,3,4,4
1111996,3,3,3,3,4,4,4,3,5,3,3,5,4,5
1060469,3,5,4,5,2,3,2,3,3,3,4,2,5,3
1015984,4,3,2,3,2,3,3,3,3,2,3,4,3,4
1041982,3,3,4,4,2,3,4,4,4,3,4,4,3,4
1048023,4,4,5,3,4,4,4,4,4,4,4,5,5,5
1010999,2,5,2,4,2,2,1,2,3,1,5,3,2,2
1101104,2,2,2,2,1,1,4,4,1,2,5,5,3,3
1048161,4,2,4,5,2,4,4,4,4,3,5,5,3,4
1005975,4,4,5,5,3,5,4,3,5,3,2,5,5,5
1104200,2,3,4,2,5,4,3,2,3,5,5,3,2,4
1111225,2,2,2,1,1,1,1,1,1,1,3,3,2,2
1081156,3,4,2,4,3,3,2,2,4,3,2,4,2,3
1101990,2,3,3,4,2,2,2,3,4,3,2,3,2,3
1114583,1,1,1,2,2,2,1,2,1,1,2,5,2,1
1116496,2,3,3,4,2,2,2,1,2,1,3,2,2,2
1115297,4,4,4,4,4,3,3,3,5,2,4,5,5,5
1084685,5,3,3,5,1,2,2,2,4,3,5,3,3,2
1091346,2,3,3,4,2,2,3,3,5,4,3,2,1,3
1060136,4,3,2,4,2,4,4,3,4,4,4,4,3,4
1047602,4,4,3,2,3,3,3,4,3,4,4,2,3,3
1023861,3,2,2,2,4,3,3,2,3,2,3,1,2,1
1031966,3,4,3,2,3,4,4,2,2,2,5,3,2,3
1036806,3,3,3,3,2,1,4,3,3,2,3,5,3,4
1036865,3,3,4,5,5,2,3,2,5,2,4,4,4,3
1004175,3,4,2,5,2,5,3,4,5,4,2,5,5,4
1090739,3,3,2,3,3,2,2,2,4,2,3,3,2,2
1099499,2,1,2,5,3,2,2,1,4,1,3,2,5,3
1019407,3,4,2,3,4,5,4,3,4,4,3,4,4,4
1001793,2,3,2,4,1,2,2,2,4,3,4,3,2,2
1008029,1,1,2,1,1,1,3,2,1,1,5,3,1,1
1009946,5,3,2,2,3,3,4,2,5,4,4,5,5,4
1034988,4,4,4,4,4,5,4,4,4,4,4,5,5,5
1029177,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1023253,4,4,3,4,4,5,4,4,5,5,5,4,2,4
1018670,2,3,3,3,2,4,3,3,4,2,5,4,3,3
1063696,4,2,3,3,5,5,3,2,4,2,3,3,1,2
1023645,3,3,2,3,3,3,3,2,4,3,3,4,2,2
1004321,2,2,1,2,1,1,1,2,5,2,2,5,5,2
1003886,3,3,3,3,3,3,3,3,3,3,3,2,3,3
1037497,3,4,3,3,3,4,4,3,4,3,4,4,4,3
1073711,3,3,4,2,4,4,5,3,4,4,5,3,5,4
1066440,5,4,3,4,2,5,4,4,5,5,5,4,4,4
1018626,5,3,2,4,3,4,3,2,4,1,5,4,3,2
1089610,4,3,2,3,3,3,3,3,3,3,3,4,4,3
1090097,3,3,2,1,2,2,3,3,1,4,4,5,2,3
1077237,5,4,1,4,5,5,4,5,4,5,5,5,4,3
1018173,3,3,2,3,3,4,4,3,5,3,4,4,3,4
1034844,2,3,3,2,2,4,3,4,4,4,4,4,2,3
1031151,3,3,4,4,4,4,4,3,3,4,5,5,2,3
1000736,2,2,2,3,2,3,3,2,2,2,3,3,1,2
1014309,2,2,2,2,2,1,1,2,2,2,2,3,2,2
1023865,4,2,3,4,2,2,3,3,3,2,3,4,3,3
1050903,3,4,4,4,4,4,4,2,4,4,4,3,4,4
1066281,4,2,2,4,2,1,2,2,4,1,1,2,4,1
1079297,3,3,3,4,3,3,3,3,5,3,3,5,3,4
1021186,2,3,2,4,2,2,2,1,2,1,4,3,4,2
1063640,2,1,3,3,2,5,5,2,3,4,3,3,2,3
1118890,4,2,5,4,2,4,4,5,4,5,3,2,2,5
1053685,5,2,3,5,3,3,4,2,5,2,5,3,3,4
1039777,4,3,2,4,3,5,3,2,4,5,3,4,3,3
1104088,3,2,2,4,3,1,2,1,3,2,3,4,4,3
1050579,4,3,3,3,2,3,2,2,2,3,3,3,2,3
1113521,2,3,3,4,3,2,3,4,4,3,2,5,4,4
1006156,3,2,3,3,3,3,3,3,3,3,3,5,3,4
1046338,3,3,3,3,3,3,2,3,3,3,4,4,3,3
1025430,4,3,2,1,5,2,5,5,2,3,4,5,5,3
1014987,1,1,1,3,3,3,3,1,3,3,3,3,3,1
1058847,5,5,4,5,4,5,5,5,5,5,5,5,5,5
1106900,4,4,4,3,4,5,5,5,5,5,5,5,5,5
1065583,4,4,3,3,2,5,4,5,5,5,5,5,5,5
1014245,3,3,1,4,1,3,2,3,1,4,5,4,2,2
1007374,2,2,4,2,2,2,2,2,2,2,3,5,2,4
1019794,4,3,4,4,2,4,5,5,5,4,2,5,3,5
1061409,3,4,3,2,5,3,4,4,4,4,3,4,2,4
1057581,4,3,3,3,3,4,3,3,3,3,5,3,3,3
1063649,3,3,2,3,3,4,3,5,5,5,5,5,3,5
1092745,5,4,4,5,5,5,5,4,5,4,4,5,5,4
1107719,3,3,4,3,4,4,4,3,3,3,4,5,5,4
1049362,5,4,5,4,4,5,5,5,5,4,3,5,5,5
1031158,4,4,3,2,3,4,4,4,4,4,4,5,4,4
1070689,3,2,1,3,2,5,4,5,5,3,5,2,3,4
1001646,3,3,3,3,3,3,5,5,3,4,4,4,4,4
1102050,2,4,4,3,3,4,5,5,3,3,5,5,5,5
1092395,4,4,4,4,4,5,4,4,5,4,5,5,4,4
1059731,2,2,1,3,2,3,3,3,2,2,4,4,2,2
1054179,3,3,4,3,3,4,3,3,4,3,4,5,4,4
1095677,4,3,2,5,2,4,4,4,4,4,4,4,4,4
1026259,5,5,4,5,4,4,4,4,5,5,5,5,5,4
1093987,4,3,1,2,1,3,3,3,4,3,5,5,2,2
1110892,2,2,2,2,1,1,1,1,1,1,2,3,1,1
1114266,4,3,4,4,4,4,4,3,4,4,5,5,4,5
1091719,4,3,3,4,4,3,4,3,3,3,3,5,2,3
1043618,3,3,3,4,4,4,3,3,4,3,3,4,4,4
1067859,2,2,3,3,3,2,2,2,4,3,4,2,3,3
1077181,4,4,5,4,3,3,4,4,4,4,5,5,3,4
1073646,3,4,2,2,2,3,3,3,3,3,5,4,4,5
1014607,3,2,2,4,3,1,2,1,5,1,2,2,5,2
1065065,4,3,4,2,2,3,2,4,3,3,2,2,1,2
1049740,2,3,2,3,1,2,2,1,3,2,4,4,3,3
1087687,3,3,1,3,1,3,2,2,4,3,4,5,3,3
1010798,5,3,1,2,1,2,4,1,1,1,3,3,2,2
1040608,4,4,4,4,1,3,3,3,4,2,2,5,4,3
1043656,3,3,1,4,1,1,1,3,3,4,5,3,3,3
1016915,3,2,3,3,3,4,4,4,4,4,4,5,3,4
1094014,1,3,3,4,3,4,4,3,3,3,4,3,2,4
1101040,4,3,4,1,1,4,3,3,4,3,3,4,3,4
1002500,3,2,2,4,3,2,3,1,4,2,3,4,3,3
1117583,3,2,3,1,4,1,5,3,5,5,5,5,5,5
1014794,3,3,2,3,1,3,4,2,4,4,4,5,4,4
1022542,3,2,2,4,3,1,3,3,5,3,2,5,5,4
1031038,4,3,3,3,4,2,4,3,4,4,4,4,4,4
1077214,2,1,3,1,1,3,2,1,2,3,3,2,2,2
1006741,4,3,3,3,2,1,4,3,3,3,5,5,4,4
1117636,3,3,3,2,3,4,5,3,3,3,4,4,4,3
1120047,2,2,3,2,3,4,4,3,2,3,4,4,4,3
1072188,3,2,2,3,2,2,2,3,2,3,4,2,3,2
1036055,3,4,4,4,3,3,3,3,3,4,4,3,4,3
1003224,3,3,2,1,2,2,4,3,5,5,5,3,3,3
1099383,4,4,3,4,2,2,3,4,4,2,3,5,4,3
1087223,3,2,2,5,5,1,2,3,5,3,4,4,4,3
1002036,3,2,2,2,3,2,4,1,3,3,4,3,2,2
1102114,3,3,3,4,2,4,3,3,5,3,4,5,4,3
1093905,3,3,2,4,2,2,2,2,2,2,2,3,3,3
1114243,5,3,3,3,2,2,2,3,3,4,3,2,1,1
1001680,3,3,3,3,3,5,3,2,4,3,3,4,4,3
1075792,2,3,3,4,1,2,2,2,1,2,4,2,2,1
1099766,2,1,1,4,1,2,2,1,4,1,2,4,4,3
1051931,3,3,3,2,2,4,4,4,5,3,5,5,3,4
1049149,3,2,2,4,3,2,2,1,4,2,3,3,3,3
1042205,3,3,2,3,2,4,2,3,1,3,4,4,4,3
1100099,2,3,3,3,4,3,2,3,4,4,4,3,5,3
1078115,4,5,2,3,1,4,4,4,2,4,4,5,3,3
1018636,2,2,4,4,4,4,2,2,3,4,4,3,5,4
1106896,2,3,2,3,2,3,2,2,3,3,4,4,4,3
1057918,4,3,4,4,4,5,5,5,5,5,5,5,5,5
1020014,2,2,3,1,1,2,2,1,2,1,4,4,3,2
1043673,3,2,4,3,2,3,4,2,3,2,3,5,3,2
1062867,1,2,1,3,1,2,2,1,2,1,3,3,3,2
1008732,3,3,2,1,4,3,3,3,4,3,4,4,3,3
1056023,5,2,1,5,2,1,2,2,3,1,3,2,5,2
1019774,2,2,4,1,1,4,3,2,3,3,5,4,1,2
1028241,5,3,3,2,3,3,4,3,1,3,3,3,3,3
1116591,4,4,3,3,2,4,5,4,4,4,5,5,4,4
1072191,3,3,2,3,2,3,3,2,3,2,3,3,2,2
1081629,1,3,2,2,3,3,3,3,3,2,3,2,3,3
1105075,4,3,3,1,2,3,3,5,2,3,5,5,5,5
1075190,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1026083,4,3,2,4,2,3,4,3,3,3,3,3,4,2
1016557,4,5,3,5,5,5,5,3,3,3,5,5,5,5
1090732,3,2,2,4,1,2,2,2,1,1,1,2,3,2
1090246,3,3,2,3,2,3,4,3,4,3,3,4,2,3
1057415,1,5,5,5,5,5,5,5,5,5,5,5,5,5
1118354,4,4,3,4,3,4,5,4,4,4,5,5,4,4
1101311,2,2,2,4,1,4,2,2,2,1,2,3,2,2
1101425,4,3,3,4,5,3,3,3,4,4,5,3,5,4
1092617,5,3,3,4,4,4,4,3,4,4,4,5,5,4
1100914,1,3,3,1,2,3,3,2,3,2,3,3,2,3
1111964,5,4,4,4,3,4,4,2,4,4,3,3,4,4
1020285,4,4,4,4,3,5,5,5,4,5,5,5,3,4
1038271,5,1,1,3,1,2,1,1,2,1,1,5,4,1
1076527,4,3,4,4,3,5,4,4,5,4,5,4,4,4
1051820,3,3,2,3,2,3,3,2,4,3,5,5,3,4
1030818,5,3,2,4,2,3,2,3,3,3,4,3,4,3
1028985,5,4,3,4,2,4,5,5,5,4,5,5,5,4
1100100,4,4,3,3,3,4,4,2,3,2,4,2,5,2
1048198,3,2,2,2,2,3,3,2,3,3,4,3,2,4
1076693,2,2,1,2,2,2,2,2,2,1,3,3,1,1
1015908,5,3,3,3,3,3,4,4,4,4,3,4,4,4
1099626,5,4,4,3,2,4,3,5,4,3,4,4,4,4
1018510,4,4,4,2,4,4,4,4,4,4,5,4,2,4
1081237,3,3,4,4,4,4,5,5,5,4,4,5,4,4
1017919,3,2,1,5,3,4,3,2,3,1,4,3,2,3
1003268,2,2,1,4,1,2,2,1,2,1,1,2,1,2
1009965,3,3,3,4,4,4,3,3,4,5,5,4,4,4
1030907,4,4,4,3,2,4,5,4,3,3,5,4,4,4
1023020,2,2,3,3,2,2,3,2,2,2,4,3,4,2
1110937,3,3,4,3,4,3,4,4,4,3,4,5,5,3
1092492,4,3,3,4,3,4,4,4,4,3,4,4,3,4
1119432,3,1,3,4,1,4,4,2,5,3,5,5,4,3
1060525,4,4,5,3,2,5,4,3,2,1,4,1,4,4
1117825,4,3,4,4,3,4,4,4,4,4,5,4,4,4
1014904,4,2,2,2,2,3,3,3,4,1,1,1,1,1
1037124,4,2,1,5,1,1,1,1,5,3,5,3,4,2
1105779,1,3,3,1,4,5,5,4,3,5,5,5,5,5
1052923,2,3,3,2,3,2,2,2,2,1,2,2,2,2
1118148,3,3,2,3,4,3,3,3,3,3,3,4,3,4
1021179,3,2,1,5,2,4,2,2,1,3,5,2,5,3
1064034,1,4,2,1,3,4,5,4,4,4,3,3,4,3
1034393,1,2,3,4,5,4,3,2,1,2,3,4,5,4
1025186,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1010872,4,3,2,3,4,4,4,4,5,4,2,5,4,4
1084429,5,3,4,2,5,3,5,4,4,5,5,5,3,5
