Serial,male,minority,deprived
1023728,0,1,1
1033060,0,0,1
1018017,0,1,0
1033895,0,1,1
1006343,0,0,0
1013862,0,1,0
1049085,0,1,0
1049128,0,1,0
1069688,0,1,1
1080661,0,1,0
1090803,0,0,0
1094698,0,1,1
1101853,0,1,1
1101942,0,1,1
1101957,0,1,1
1101962,0,1,1
1101965,0,1,1
1106011,0,1,0
1107054,0,1,1
1112238,0,1,1
1047974,0,1,0
1056203,0,1,0
1067645,0,1,1
1073406,0,1,1
1073411,0,1,1
1075535,0,1,0
1084832,0,1,1
1024903,0,0,0
1035134,0,1,0
1035236,0,1,0
1055754,0,1,0
1072983,0,1,1
1067584,0,1,0
1067598,0,1,0
1067745,0,1,1
1067763,0,0,1
1092900,0,1,1
1092907,0,1,1
1032602,0,1,0
1060479,0,1,0
1071658,0,0,1
1090649,0,1,1
1051348,0,1,0
1013717,0,1,0
1020649,0,1,0
1027600,0,0,1
1034191,0,1,1
1034257,0,1,1
1076673,0,1,1
1052233,0,1,0
1062168,0,1,0
1074087,0,0,1
1095535,0,1,1
1012266,0,0,0
1012270,0,1,0
1018874,0,1,0
1018910,0,1,0
1039721,0,1,1
1041241,0,1,0
1043280,0,1,0
1070505,0,0,1
1013255,0,1,0
1013290,0,1,0
1013371,0,1,0
1013372,0,1,0
1013447,0,1,0
1015854,0,1,0
1015978,0,1,0
1016008,0,1,0
1050665,0,1,1
1063249,0,1,1
1025813,0,1,0
1025986,0,1,0
1027248,0,1,0
1027331,0,1,0
1027416,0,1,0
1027432,0,1,0
1032459,0,1,1
1032475,0,0,1
1038510,0,1,0
1040035,0,1,1
1044267,0,1,0
1052681,0,1,1
1068932,0,1,0
1074125,0,1,1
1074128,0,0,1
1015760,0,1,1
1029044,0,1,1
1036117,0,0,0
1084251,0,1,0
1014447,0,0,0
1014566,0,0,0
1021852,0,1,0
1022000,0,1,0
1023816,0,1,0
1026441,0,1,0
1031617,0,1,0
1036859,0,0,1
1044399,0,1,1
1026133,0,1,1
1035589,0,0,1
1035627,0,0,1
1035647,0,1,1
1040116,0,1,1
1040138,0,1,1
1040139,0,1,1
1057357,0,0,1
1065230,0,1,1
1061454,0,0,1
1065445,0,1,0
1070545,0,1,0
1070552,0,1,0
1086156,0,1,1
1086622,0,1,1
1078894,0,1,1
1078896,0,1,1
1078932,0,1,1
1090673,0,1,1
1092760,0,1,0
1092765,0,1,0
1068655,0,1,0
1068700,0,1,0
1071546,0,1,0
1081398,0,1,1
1083280,0,1,1
1083281,0,1,1
1085592,0,1,1
1085637,0,1,1
1095700,0,1,1
1106484,0,1,1
1028296,0,1,0
1029542,0,1,0
1029569,0,1,0
1039787,0,1,1
1041980,0,1,1
1041988,0,0,1
1060884,0,1,0
1063809,0,1,1
1065097,0,1,1
1065135,0,1,1
1079025,0,1,1
1084424,0,1,0
1095311,0,1,0
1046255,0,1,0
1047645,0,1,0
1050619,0,1,0
1064136,0,1,1
1068182,0,1,0
1072618,0,1,1
1074146,0,1,0
1074184,0,1,0
1000097,0,0,0
1000141,0,1,0
1000233,0,1,0
1012837,0,1,0
1012894,0,1,0
1012899,0,1,0
1043079,0,1,0
1002402,0,1,1
1016132,0,1,0
1032027,0,1,1
1032041,0,1,1
1036040,0,1,1
1039118,0,1,0
1042551,0,1,1
1115451,0,0,1
1116162,0,1,1
1117694,0,1,1
1117921,0,1,1
1118830,0,1,1
1118906,0,1,1
1004212,0,1,0
1004217,0,1,0
1004219,0,1,0
1006638,0,1,0
1006639,0,1,0
1006664,0,1,0
1009919,0,1,1
1010886,0,1,1
1017249,0,1,1
1042508,0,1,1
1015560,0,0,0
1015566,0,0,0
1028741,0,1,1
1028745,0,1,1
1083895,0,1,1
1083898,0,1,1
1083917,0,1,1
1083935,0,1,1
1086117,0,1,0
1097366,0,1,1
1097773,0,1,1
1104039,0,1,0
1109655,0,1,1
1050278,0,1,0
1056109,0,0,1
1083793,0,1,1
1018512,0,0,0
1030553,0,0,1
1030601,0,1,1
1038776,0,1,1
1039333,0,1,0
1039371,0,1,0
1045012,0,1,1
1045032,0,1,1
1046896,0,1,1
1002167,0,1,0
1008255,0,1,1
1008256,0,1,1
1024394,0,1,0
1103423,0,1,1
1110440,0,1,1
1110444,0,1,1
1112194,0,0,1
1049760,0,0,0
1060967,0,0,1
1068607,0,1,0
1072760,0,1,1
1072767,0,1,1
1073631,0,1,1
1075207,0,1,1
1069529,0,1,0
1075308,0,1,0
1084913,0,1,1
1084951,0,0,1
1085028,0,1,1
1087098,0,1,1
1090530,0,1,1
1090567,0,1,1
1090608,0,1,1
1097758,0,1,1
1098946,0,1,1
1109289,0,1,1
1109292,0,1,1
1109299,0,1,1
1089568,0,0,1
1089668,0,1,1
1091022,0,1,1
1091229,0,1,1
1091246,0,1,1
1101107,0,1,1
1101126,0,0,1
1005799,0,1,0
1012960,0,1,0
1013068,0,1,0
1017584,0,1,0
1017670,0,1,0
1039250,0,1,1
1043206,0,1,1
1043233,0,1,1
1072411,0,1,1
1072424,0,1,1
1077091,0,1,1
1061770,0,1,1
1066183,0,1,0
1073283,0,0,1
1081735,0,1,1
1090754,0,1,1
1004280,0,1,0
1004285,0,1,0
1006560,0,1,1
1010238,0,0,0
1014883,0,0,1
1047025,0,1,1
1074226,0,1,1
1002628,0,1,0
1019370,0,1,0
1025009,0,1,1
1039904,0,1,0
1020007,0,1,0
1026291,0,1,0
1062505,0,1,1
1081233,0,1,1
1081241,0,0,1
1079212,0,0,0
1079391,0,1,0
1087682,0,0,1
1094515,0,1,1
1095991,0,1,1
1098190,0,1,1
1106455,0,1,0
1112474,0,1,1
1017945,0,0,1
1042785,0,1,1
1080797,0,1,1
1007331,0,1,1
1007396,0,0,1
1020205,0,1,0
1048889,0,1,1
1048896,0,0,1
1001447,0,1,0
1001706,0,1,1
1001747,0,0,1
1001772,0,0,1
1004823,0,1,0
1004859,0,1,0
1004860,0,1,0
1004890,0,1,0
1004948,0,1,0
1006845,0,1,1
1006903,0,1,1
1053829,0,1,1
1026935,0,1,0
1026944,0,0,0
1026965,0,1,0
1031411,0,1,0
1031559,0,1,0
1033946,0,1,1
1033947,0,1,1
1033960,0,1,1
1034030,0,1,1
1034054,0,1,1
1072664,0,1,0
1076922,0,1,0
1002731,0,1,0
1002753,0,1,0
1002803,0,1,0
1003381,0,1,0
1006794,0,1,1
1006809,0,1,1
1013591,0,1,1
1017075,0,1,0
1022239,0,1,1
1022250,0,1,1
1071677,0,1,0
1004520,0,0,0
1008089,0,1,1
1008109,0,0,1
1022873,0,1,1
1038039,0,1,0
1005631,0,1,0
1010478,0,1,0
1064238,0,1,1
1025201,0,1,0
1025305,0,1,0
1025311,0,1,0
1045710,0,0,0
1045725,0,1,0
1044110,0,1,1
1070431,0,1,0
1085504,0,1,1
1047859,0,1,0
1061091,0,1,1
1085852,0,1,0
1085857,0,1,0
1005953,0,1,0
1007551,0,1,0
1011644,0,1,0
1011651,0,1,0
1011659,0,1,0
1011699,0,1,0
1011732,0,1,0
1086697,0,1,0
1086871,0,1,0
1086892,0,1,0
1087872,0,1,0
1088035,0,1,0
1088036,0,1,0
1094863,0,1,0
1003068,0,1,0
1009109,0,1,0
1005121,0,1,0
1005223,0,1,0
1005330,0,1,0
1008409,0,1,0
1008464,0,1,0
1008470,0,1,0
1008568,0,1,0
1016315,0,1,0
1013094,0,1,0
1020525,0,1,0
1020788,0,1,1
1020790,0,0,1
1020791,0,1,1
1024237,0,1,1
1024970,0,1,0
1047846,0,1,0
1061587,0,0,1
1061607,0,1,1
1071171,0,1,1
1078023,0,1,1
1083385,0,1,1
1012506,0,1,0
1019526,0,1,0
1027498,0,1,1
1046764,0,1,1
1046765,0,1,1
1059800,0,1,1
1059804,0,1,1
1037157,0,1,1
1064310,0,1,0
1076236,0,1,1
1072028,0,1,0
1072156,0,1,0
1079892,0,1,0
1079913,0,1,0
1079940,0,1,0
1095393,0,1,1
1097660,0,1,1
1001669,0,1,1
1002007,0,1,0
1002294,0,1,1
1002295,0,0,1
1002336,0,1,1
1026395,0,1,1
1029150,0,1,1
1029151,0,1,1
1029198,0,1,1
1048452,0,1,1
1080860,0,1,1
1080869,0,1,1
1080882,0,1,1
1029210,0,1,0
1039549,0,1,0
1047353,0,1,1
1055117,0,1,1
1060528,0,1,1
1064087,0,1,0
1070524,0,1,1
1070673,0,1,1
1070674,0,1,1
1070675,0,1,1
1023184,0,0,1
1023245,0,0,1
1032081,0,1,0
1036674,0,1,1
1036702,0,1,1
1042020,0,1,0
1042082,0,0,0
1042099,0,0,0
1044549,0,1,1
1052645,0,1,1
1052649,0,1,1
1018648,0,0,0
1018735,0,0,0
1027156,0,1,0
1028851,0,0,1
1033427,0,1,0
1033538,0,1,0
1043428,0,1,0
1009912,0,1,0
1017170,0,0,1
1028154,0,1,1
1028157,0,1,1
1046803,0,1,1
1069190,0,1,1
1069211,0,1,1
1069213,0,1,1
1044802,0,1,1
1030616,0,1,0
1034588,0,1,1
1034686,0,1,1
1034715,0,1,1
1038117,0,1,0
1038119,0,1,0
1049765,0,1,1
1074640,0,0,1
1078081,0,1,1
1080514,0,1,0
1080600,0,1,0
1082580,0,1,0
1082618,0,1,0
1095904,0,1,1
1095924,0,1,1
1106884,0,1,0
1000537,0,1,1
1010006,0,1,1
1010024,0,1,1
1024083,0,1,0
1058428,0,1,0
1063618,0,1,0
1065919,0,1,1
1083343,0,1,1
1083358,0,1,1
1057670,0,1,0
1063691,0,0,1
1005766,0,1,0
1009768,0,1,0
1017722,0,1,0
1020981,0,1,1
1021075,0,1,1
1021123,0,1,1
1023545,0,0,1
1023550,0,1,1
1023571,0,1,1
1023586,0,0,1
1023615,0,1,1
1026040,0,1,0
1001312,0,1,0
1004371,0,1,1
1023953,0,1,1
1033298,0,1,1
1046727,0,1,0
1000014,0,1,0
1000443,0,1,0
1004981,0,1,1
1021174,0,1,1
1069881,0,1,1
1079606,0,1,1
1008115,0,1,0
1082484,0,1,1
1003930,0,1,0
1016775,0,1,0
1017761,0,1,1
1017765,0,1,1
1017768,0,1,1
1017814,0,0,1
1039758,0,1,1
1045408,0,1,1
1062204,0,1,1
1004693,0,1,0
1014998,0,1,0
1015120,0,1,0
1015162,0,1,0
1025736,0,1,1
1033408,0,1,1
1049601,0,0,1
1011045,0,0,0
1011901,0,0,0
1011908,0,1,0
1022943,0,1,1
1022944,0,1,1
1022977,0,1,1
1023016,0,1,1
1023017,0,1,1
1029242,0,1,1
1029246,0,1,1
1077164,0,1,1
1077165,0,1,1
1080342,0,1,1
1001834,0,1,0
1001958,0,1,0
1027114,0,1,0
1044683,0,0,1
1097952,0,1,1
1037985,0,1,0
1039641,0,1,0
1043761,0,1,0
1048146,0,1,1
1052429,0,1,1
1052457,0,1,1
1052479,0,1,1
1082134,0,1,1
1084002,0,1,1
1037589,0,1,0
1037595,0,1,0
1037611,0,0,0
1037645,0,0,0
1043006,0,1,1
1043010,0,1,1
1054412,0,1,0
1054431,0,1,0
1072292,0,1,1
1072302,0,1,1
1072347,0,1,1
1001585,0,0,0
1006819,0,0,0
1007908,0,1,1
1017681,0,1,1
1017682,0,1,1
1017687,0,1,1
1035320,0,1,1
1035343,0,1,1
1008954,0,1,0
1038727,0,1,1
1057157,0,1,1
1057176,0,1,1
1024576,0,0,0
1032874,0,1,0
1043937,0,1,0
1069661,0,1,1
1012050,0,0,0
1012099,0,1,0
1012132,0,1,0
1012151,0,1,0
1022375,0,1,0
1026518,0,0,1
1062882,0,0,1
1068916,0,1,0
1081653,0,1,1
1036197,0,1,0
1037092,0,1,0
1048603,0,1,1
1048605,0,0,1
1048610,0,1,1
1048627,0,0,1
1048648,0,1,1
1048673,0,0,1
1074335,0,0,1
1076773,0,1,1
1076836,0,1,1
1076846,0,1,1
1087043,0,1,1
1057437,0,1,0
1057515,0,0,0
1073698,0,0,1
1073699,0,0,1
1073704,0,0,1
1073717,0,0,1
1073768,0,0,1
1077560,0,1,1
1019111,0,1,0
1027176,0,1,0
1027180,0,1,0
1033749,0,1,0
1033834,0,1,0
1071152,0,1,1
1076563,0,1,1
1059211,0,0,0
1059252,0,0,0
1077874,0,1,1
1077900,0,1,1
1079813,0,1,1
1097943,0,1,0
1066498,0,0,1
1066521,0,1,1
1066542,0,1,1
1091085,0,1,1
1091114,0,1,1
1055452,0,1,1
1037815,0,0,1
1060434,0,1,1
1072223,0,1,1
1065099,0,1,1
1077103,0,0,1
1038338,0,0,0
1051943,0,0,0
1005371,0,1,0
1058153,0,0,1
1026014,0,1,0
1004230,0,0,0
1101108,0,0,1
1020105,0,0,0
1053279,0,0,0
1039479,0,0,0
1037702,0,0,0
1025833,0,0,0
1073612,0,1,1
1002610,0,1,0
1096175,0,0,0
1113608,0,1,0
1105175,0,0,0
1014701,0,1,1
1010660,0,1,1
1053792,0,1,1
1022001,0,1,0
1106790,0,1,1
1115549,0,1,0
1053710,0,0,1
1024891,0,0,0
1050883,0,0,1
1021228,0,0,0
1020334,0,1,0
1010854,0,0,1
1034006,0,0,1
1018721,0,0,0
1114479,0,0,0
1109094,0,0,1
1089369,0,0,0
1093966,0,0,0
1104139,0,0,0
1097069,0,0,0
1102411,0,0,0
1108597,0,0,0
1093403,0,0,0
1092513,0,0,0
1092746,0,0,0
1111928,0,0,0
1050637,0,0,0
1030689,0,1,1
1036539,0,1,1
1004099,0,0,1
1021447,0,1,1
1047978,0,0,0
1031943,0,0,1
1026349,0,1,0
1091744,0,1,1
1002178,0,0,0
1081332,0,1,1
1040896,0,0,0
1019518,0,0,0
1023205,0,0,1
1004714,0,0,0
1012034,0,0,0
1073771,0,0,1
1118577,0,0,0
1067869,0,1,1
1021360,0,1,1
1049386,0,1,1
1005430,0,0,0
1064021,0,0,1
1097528,0,0,1
1105229,0,0,0
1033111,0,1,0
1111636,0,0,1
1101207,0,0,0
1096064,0,0,1
1091460,0,0,0
1059784,0,0,0
1020230,0,0,0
1022704,0,0,0
1018037,0,1,0
1006490,0,0,0
1027612,0,0,1
1014551,0,0,0
1048755,0,1,0
1014768,0,1,1
1010859,0,0,1
1041658,0,0,0
1084933,0,0,1
1112471,0,1,1
1008017,0,1,1
1086705,0,0,0
1034775,0,0,1
1005044,0,0,1
1066462,0,0,1
1084488,0,0,0
1005926,0,0,0
1007889,0,0,1
1079081,0,0,1
1010723,0,0,0
1111618,0,0,1
1105042,0,1,0
1073640,0,1,1
1060852,0,0,1
1091958,0,0,0
1034957,0,1,1
1005706,0,0,0
1052496,0,0,1
1109447,0,0,1
1100095,0,1,0
1005566,0,0,0
1003806,0,0,0
1099757,0,1,0
1004507,0,0,0
1111996,0,0,0
1060469,0,0,0
1015984,0,0,0
1041982,0,0,1
1014897,0,0,1
1074672,0,0,1
1048023,0,1,0
1065874,0,0,1
1007384,0,0,1
1059061,0,0,1
1010999,0,0,0
1078918,0,1,1
1101104,0,0,1
1048161,0,0,1
1005975,0,0,1
1104200,0,0,0
1111225,0,0,1
1081156,0,0,0
1101990,0,0,1
1114583,0,0,0
1116496,0,0,0
1115297,0,0,1
1105257,0,0,0
1109155,0,0,1
1084685,0,0,0
1091346,0,0,1
1060136,0,0,0
1047602,0,1,1
1023861,0,0,1
1024827,0,0,0
1072984,0,0,1
1031966,0,0,1
1036806,0,0,1
1036865,0,0,1
1004175,0,0,0
1041413,0,0,0
1090739,0,0,1
1099499,0,0,0
1019407,0,1,0
1001793,0,0,1
1008029,0,0,1
1040844,0,0,0
1005143,0,0,0
1009946,0,0,0
1034988,0,1,1
1029177,0,0,1
1023253,0,0,1
1018670,0,0,0
1063696,0,0,1
1023645,0,0,1
1004321,0,0,1
1008138,0,0,0
1003886,0,0,0
1037497,0,0,0
1050005,0,0,1
1073711,0,0,1
1073732,0,0,1
1066440,0,0,1
1018626,0,0,1
1089610,0,0,1
1090097,0,0,0
1100692,0,0,1
1051918,0,0,0
1007418,0,0,1
1079151,0,1,1
1077237,0,1,1
1018173,0,1,1
1103372,0,0,1
1034844,0,0,1
1031151,0,0,0
1000736,0,0,0
1074925,0,0,0
1109219,0,0,1
1014309,0,1,1
1014996,0,1,1
1023865,0,0,1
1050903,0,0,1
1036907,0,0,1
1066281,0,1,1
1079297,0,0,0
1087683,0,0,1
1040680,0,0,0
1063279,0,0,1
1021186,0,0,0
1063640,0,0,1
1023948,0,0,1
1058258,0,0,1
1118890,0,0,1
1053685,0,0,1
1039777,0,1,1
1104088,0,0,0
1102084,0,1,1
1019888,0,0,0
1005924,0,0,0
1061000,0,0,1
1042015,0,0,0
1050579,0,0,0
1113521,0,0,0
1006156,0,0,0
1046338,0,0,1
1025430,0,1,1
1014987,0,0,1
1058847,0,0,1
1106900,0,1,1
1065480,0,0,0
1065583,0,1,1
1014245,0,1,0
1079283,0,1,0
1007374,0,0,1
1019794,0,0,0
1061409,0,1,1
1057581,0,0,1
1063649,0,0,1
1077452,0,1,1
1092745,0,0,0
1107719,0,0,0
1049362,0,1,1
1115369,0,0,1
1031158,0,0,0
1070689,0,1,1
1076241,0,0,1
1071695,0,0,1
1001646,0,1,1
1102050,0,1,1
1092395,0,0,0
1059731,0,0,0
1118306,0,0,0
1054179,0,1,1
1095677,0,1,1
1026259,0,0,0
1027687,0,0,1
1005984,0,0,0
1093987,0,0,0
1110892,0,0,1
1114266,0,0,1
1091719,0,0,0
1043618,0,0,1
1067859,0,1,1
1077181,0,1,1
1070361,0,1,1
1023670,0,1,1
1073646,0,1,1
1014607,0,0,0
1113074,0,0,0
1065065,0,1,1
1049740,0,0,0
1087687,0,0,1
1010798,0,0,0
1040608,0,0,0
1023128,0,0,1
1085133,0,1,1
1005066,0,0,1
1017746,0,0,1
1043656,0,0,0
1016915,0,0,1
1094014,0,0,0
1101040,0,0,0
1002500,0,0,1
1117583,0,1,1
1014794,0,0,1
1022542,0,1,1
1031038,0,1,1
1077214,0,1,1
1006741,0,1,0
1067979,0,1,1
1117636,0,1,1
1120047,0,0,1
1072188,0,1,1
1036055,0,1,1
1003224,0,0,0
1099383,0,0,1
1087223,0,0,0
1002036,0,0,0
1072544,0,1,1
1110827,0,0,1
1091352,0,0,1
1102114,0,0,1
1093905,0,0,0
1094057,0,0,0
1114243,0,1,1
1001680,0,0,1
1075792,0,0,0
1099766,0,0,0
1051931,0,0,0
1049149,0,1,0
1042205,0,1,1
1100099,0,1,0
1078115,0,1,1
1018636,0,0,0
1106896,0,1,1
1057918,0,1,0
1020014,0,0,0
1043673,0,0,0
1062867,0,0,1
1008732,0,1,1
1046798,0,0,1
1023869,0,0,1
1056023,0,0,1
1019774,0,0,0
1028241,0,1,0
1116591,0,0,0
1072191,0,1,1
1081629,0,1,1
1105075,0,0,0
1075190,0,1,1
1099830,0,0,0
1048220,0,1,1
1026083,0,1,1
1026088,0,1,1
1016557,0,0,0
1095405,0,1,1
1090732,0,0,1
1090246,0,0,1
1010896,0,1,1
1059877,0,0,0
1091194,0,1,1
1021066,0,0,1
1057415,0,0,0
1117764,0,0,1
1018147,0,0,1
1087302,0,0,0
1118354,0,0,0
1096293,0,0,0
1101311,0,0,0
1101425,0,0,0
1092617,0,0,0
1100914,0,0,0
1111964,0,0,0
1020285,0,0,0
1038271,0,0,0
1076527,0,0,1
1051820,0,0,0
1030818,0,1,1
1028985,0,0,1
1043338,0,1,1
1100100,0,1,0
1067658,0,0,1
1048198,0,0,1
1076693,0,0,1
1057335,0,1,1
1015908,0,0,0
1044219,0,0,1
1099626,0,1,1
1018510,0,0,0
1077465,0,1,1
1081237,0,0,1
1017919,0,0,1
1003268,0,0,0
1002348,0,1,0
1009965,0,1,0
1036741,0,0,1
1030907,0,0,1
1023020,0,0,1
1110937,0,0,1
1092492,0,0,0
1028975,0,1,1
1119432,0,0,1
1028983,0,0,1
1060525,0,1,1
1117825,0,0,0
1014904,0,1,0
1062021,0,1,1
1037124,0,0,1
1105779,0,0,0
1052923,0,0,1
